标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
为什么减重手术可以降血糖。#减重手术 #糖尿病,https://www.douyin.com/video/7036295344707112199,547,00:30,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,1月前
想减轻胰岛负担？早点睡觉#糖尿病 #糖尿病逆转 ,https://www.douyin.com/video/6985040032277040392,4984,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,5月前
什么是#胰岛素抵抗 ？#备孕 #多囊 #好孕 @南京鼓楼医院生殖医学科 @DOU+小助手 ,https://www.douyin.com/video/6986913586685791518,661,01:03,https://www.douyin.com/user/MS4wLjABAAAAoI0FOHvQtTVWLHKLqaIevb-E1d2alxshTMjHyDsF1Kk,好孕娜医生,5月前
为什么手术可以治疗糖尿病？手术原理是什么？#健康 #糖尿病 #减重手术,https://www.douyin.com/video/6920515336743832835,6032,00:37,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,11月前
血糖不平稳是怎么回事？#这个视频有点料 #健康 #科普,https://www.douyin.com/video/6830348465080438020,2774,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#减重 代谢不仅可以让你#健康 瘦身，还可以帮助你控制#血糖  哟#减肥,https://www.douyin.com/video/6767973923251440910,409,00:45,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,2年前
带你秒懂胰腺内分泌和外分泌功能##医学科普 #科普健康知识 #肿瘤 #健康 #健康科普 ,https://www.douyin.com/video/7012911956487179550,596,00:51,https://www.douyin.com/user/MS4wLjABAAAAinT4yIToJ4uxYWza15SwlrbRrFL4aitAnsezC2He-BnLYdbQ9VmFfQXtNILdOU1E,肿瘤介入科刘玉金,3月前
@介入科吕医生 儿童肥胖致胰高血糖素血症胰岛素抵抗，脖子等皮肤褶皱处色素沉着出现黑棘皮病血糖已经异常，要重视,https://www.douyin.com/video/6802170125777751303,3720,00:32,https://www.douyin.com/user/MS4wLjABAAAA9awyjLpDvK6121ua9utM6cRFjD24k7nj0I2uxJRzWZy8iKCXabIMp2-P4Tt7KzF0,儿科霍医生,1年前
#医学科普  #健康 饭吃的越少，血糖控制的越好？ #糖尿病,https://www.douyin.com/video/6959357710475201805,26,00:35,https://www.douyin.com/user/MS4wLjABAAAATIu2BI8FCiIe8epL4zcsvFj8wH8T8emG2z16RxVqbKQ,医道悬胡,7月前
NO.405 健步走一小时身体会发生的变化 #健康 #医学科普 #运动,https://www.douyin.com/video/7008060983453191462,7.5w,00:51,https://www.douyin.com/user/MS4wLjABAAAAd4-IxvJqrK1OtpdjZRCTfyGkcViJ7jLime4iIfvDMPE,北大医院骨科孙浩林医生,3月前
王主任讲【导致糖尿病的原因有哪些】#大医本草堂 #王鸿谟主任 ,https://www.douyin.com/video/6738213847431236876,3908,01:58,https://www.douyin.com/user/MS4wLjABAAAA8Ucop5FJjPIIIPA0DHQjMLkxwN7UfYHsK8c-NxxilK8,大医本草堂,2年前
降糖药是如何降糖的#糖尿病#科普知识,https://www.douyin.com/video/6989520269379472648,180,00:40,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,5月前
#华西辟谣小分队  靠饿减肥的坏处，真的一大把哟！#dou是知识点,https://www.douyin.com/video/6737577360662465804,1.2w,00:39,https://www.douyin.com/user/MS4wLjABAAAAFZZNL6hr84ojdqvHqxWJlCljAlEEA60jC7pTW5JqwW0,四川大学华西医院,2年前
你了解自己的胃吗？肥胖主要是它导致的，不是肠子。#肥胖 #减重代谢手术 @南方健康 @孟化医学在线,https://www.douyin.com/video/6877859646523051275,310,00:25,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
#无糖 饮料真的不发胖吗？ #代糖 虽然没有热量，但也会促进胰岛素分泌！ #减重  @抖音小助手,https://www.douyin.com/video/6971663559327534373,2245,00:41,https://www.douyin.com/user/MS4wLjABAAAAn44NR08H4969FJehEqPL-hBzOSI1xovT1ObQ-WEvumfTMYJvQAYMWLZY0NvWXPdd,胃肠外科王志凯,7月前
胃旁路S术是怎么回事儿，怎么就能控制血糖问题？#胃旁路手术 #糖尿病@抖音小助手 ,https://www.douyin.com/video/6992850155980459296,2710,00:52,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,5月前
什么是胰腺神经内分泌肿瘤#胰腺 #肿瘤 #医学科普 @DOU+小助手 @抖音小助手,https://www.douyin.com/video/7035399527251184926,44,01:04,https://www.douyin.com/user/MS4wLjABAAAARpgeqqGKk2Ob74IeqRPAQY0Z_n4SytU77ZxQAaPqbVs,肝胆疾病专家王东,1月前
早上#空腹血糖 高，你知道什么原因吗？#中医 #生活,https://www.douyin.com/video/6899673324461280520,229,00:31,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1年前
#抖音小助手#医学科普,https://www.douyin.com/video/6951278282285305129,103,00:56,https://www.douyin.com/user/MS4wLjABAAAA9QNWbwndG7MFzxOW4ZeNrRyJpLFBczNtG0D559wRE4x9sBAolSpqZrgJlzS6zilD,石家庄第四医院生殖中心,8月前
开灯睡觉会变胖？#中医 #健康 #暑期大作战 #健康科普,https://www.douyin.com/video/6866738333934947592,18,00:42,https://www.douyin.com/user/MS4wLjABAAAAlCxWfvdGFEOP1gsh5bIiR_4vN9JHTHkZHoQ5Mo1KT_lxPi33K29JQQ9Ovvq2O_1A,张涛医生说肝,1年前
#低血糖 中重度低血糖怎么办？,https://www.douyin.com/video/6865896162189151491,27,00:27,https://www.douyin.com/user/MS4wLjABAAAA9_uPkryGWdGWG09zxhekvn-fFClznvUk5pRsujS_mJmoSW2qgeg66nweWRtCCu6w,郑州市第九人民医院,1年前
什么是胰岛素？你真的了解吗 ？ #健康  #胰岛素  #糖尿病  #暨南王存川,https://www.douyin.com/video/6901596690466262280,146,00:40,https://www.douyin.com/user/MS4wLjABAAAAZmTvelPbmrr34t12AEi7yFYJT_4uWj8wy8rcoMw7zXw,暨南减重王存川教授,1年前
#高血糖 血糖高了危害大，管住嘴迈开腿#健康#生活 从现在开始#医学科普 #涨知识 #科普 ,https://www.douyin.com/video/7009188210156915976,85,01:34,https://www.douyin.com/user/MS4wLjABAAAAlDjXFh_wUxCCuydtTycPo0w8gUv5_SVZuaiKQVigLZBSc5U3WZC5vP7ZPI6P_4lH,健康云南,3月前
#健康知识讲解#创作灵感减重代谢手术如何帮助合并肥胖的糖尿病患者？,https://www.douyin.com/video/6914213774513835271,10,01:32,https://www.douyin.com/user/MS4wLjABAAAAO1jP0FHpShpQClEPWbx15W7U7A54yaosdedtD6-LPMAVq7n26XszY2xjk6hBi6NF,减重手术专家李良辉,1年前
#胃旁路 手术治疗#糖尿病 的原理 ② #肥胖 @抖音小助手 ,https://www.douyin.com/video/7050394580889455906,235,00:37,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,3天前
血糖高对怀孕有影响吗？,https://www.douyin.com/video/6891848535667494151,76,00:26,https://www.douyin.com/user/MS4wLjABAAAAgR7KQpXnSSOvlbOpFKzc2O15kO5k8H2W6EZT_aW01DFznIlLtuu9TMC-7h6ig7a5,生殖科胡雅君主任,1年前
空腹血糖升高更严重#糖尿病 #糖尿病科普 #控糖,https://www.douyin.com/video/6931201265435200775,4573,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,10月前
#dou出新知 专家教糖友如何应对饥饿感 最后你学会了吗？,https://www.douyin.com/video/6777651701856865547,1095,00:51,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,2年前
医生解答：什么人需要注射胰岛素？#健康 #科普 #高血糖 ,https://www.douyin.com/video/7033284738194492685,84,00:46,https://www.douyin.com/user/MS4wLjABAAAAeRd9ihp42EJvc01CKLkiES9ZBeNVFcSIB_Tycjq2wtnkEUYikw4wPggH7h1aqUZQ,刘博士谈健康,1月前
胰岛素每天100u，空腹血糖18.9，什么原因？#医学科普 #糖尿病 #健康 @DOU+小助手,https://www.douyin.com/video/6994725192958217475,9548,01:22,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
糖尿病患者使用胰岛素一定要注意#医学科普知识 #糖尿病 #健康dou起来 @抖音小助手 @DOU+小助手,https://www.douyin.com/video/6959840410155896071,8,00:30,https://www.douyin.com/user/MS4wLjABAAAAZEj2oIn0Wj3toB2W-7U7UrJtbqTCXDagqNGzSKkoq08,中医内分泌专家杨波医生,8月前
30多岁已经有#糖尿病 10年，感谢对我们的信任，让更多的人了解医学，病程越短，效果越好！但不适合所有人！,https://www.douyin.com/video/6942309056342199583,22,00:43,https://www.douyin.com/user/MS4wLjABAAAAo53WHma7BlCEQ9-XY3Pf_EeWcGG5NumSVoWojzGhg4fJq0bK9LSehcQYZVJ_EsyS,外科医生董星,9月前
胰岛有没有正常工作？看这三点#糖尿病 #糖尿病科普,https://www.douyin.com/video/6937941792608324894,952,00:43,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,9月前
11月14日世界防治糖尿病日！#糖尿病 #健康 #防治糖尿病 ,https://www.douyin.com/video/7029704069753195791,36,01:52,https://www.douyin.com/user/MS4wLjABAAAAWFNplaDlC77-uqRx_LqON7EV-L4Gt3ditYMeZi_BYBKxcw-vzR60tNEiOWbbsrka,第十三师红星医院,1月前
#糖尿病 #胰岛素 #健康 #科普 ,https://www.douyin.com/video/7016879303581322532,1.1w,01:10,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
#李焱主任 是不是不吃糖的人就不容易得糖尿病#糖尿病 #医学科普 ,https://www.douyin.com/video/6987215002537184525,3705,00:31,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,5月前
