标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
手掌红、肥厚的朋友要注意自身脂肪代谢可能存在异常！#手诊 #dou出新知 #代谢 #中医,https://www.douyin.com/video/6845109520021130504,3851,00:47,https://www.douyin.com/user/MS4wLjABAAAAHB8mtMzC1e3EY1z0pH871BDg8sOE0ugW8G9rN1rtlGs,中国中医科学院-韩学杰,1年前
脂代谢紊乱的症状   @震洋健康  #知识创作人  #健康真相官,https://www.douyin.com/video/6896751510521138440,87,01:03,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,1年前
##健康 #医学科普 #健康科普 ,https://www.douyin.com/video/7032179036658945317,144,00:42,https://www.douyin.com/user/MS4wLjABAAAADp42zH4VudMxmDikladbEXrxl5QD9hVKu_gAKt5_W-nT8UWq2GgOHHUlRs8E3it6,中医郭志华教授,2周前
所有#病人 都要积极乐观，心情是很重要的！#乙肝 #医学科普 #肝硬化 #健康,https://www.douyin.com/video/6892290862903037196,1381,00:47,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,1年前
心态平和有益于病情，要保持良好的心态#糖尿病 #医学科普 #大连大学附属新华医院 #健康最重要 #健康科普,https://www.douyin.com/video/6954147354324831492,474,00:39,https://www.douyin.com/user/MS4wLjABAAAAzJvl4xxGd17Wz6KIZZwvIgfKdti6WkXawAujJicf8L4,神经内科孙大夫,7月前
#肝教授 脂肪肝患者不能吃荤菜吗？#黄叔论肝 #医学科普,https://www.douyin.com/video/7000631744705744140,2991,01:05,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,3月前
肚子里的脂肪堆积，脂肪代谢异常，成了脂肪肝#大肚腩 #脂肪肝 #减重手术 ,https://www.douyin.com/video/7025948133259562254,1147,00:06,https://www.douyin.com/user/MS4wLjABAAAAzm8XjRS8-YIEXgj4TEhJoKtTTzEcDGoIIUMVXMiuqI8,瘦医张涵,1月前
代谢综合征有哪些表现？#减重代谢手术 #减肥 #糖尿病 #牛皮癣银屑病,https://www.douyin.com/video/6941737068573887756,3154,00:36,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,8月前
乙肝患者同时也有脂肪肝要注意了！#医学科普 #健康 #科普 #肝病 #暑假知识大作战 @抖音小助手,https://www.douyin.com/video/6873660495598046468,730,00:48,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,1年前
小孩子也得这病得小心点儿了#育儿 ,https://www.douyin.com/video/7006517818703252751,259,00:34,https://www.douyin.com/user/MS4wLjABAAAAO3unr0Uf1ixrhUIuk3zhStmBUKRO94cOTTSSyx6GRuc,儿科张均喜大夫,3月前
任何的#减重 方式都建立在长久保持一个良好的生活方式上#减重手术 #袖状胃 #胃折叠,https://www.douyin.com/video/6969383440319892772,1133,01:28,https://www.douyin.com/user/MS4wLjABAAAAPjEMcBcE1Tf84nDeaem5ecVuT0vhn4uqj3zBEeHVZl0,减重外科姚琪远主任,6月前
#血脂 调脂葯系列科普（10） 为什么有些人不吃荤也血脂高 @南方健康,https://www.douyin.com/video/6827950431617010955,6102,01:45,https://www.douyin.com/user/MS4wLjABAAAAtuDOOW5KSrm2TaKAVU2Vp2smhvaSSqlbGqD6Q-f3YtQ,神经内科宋璞医生,1年前
#脂肪肝也会肝炎肝纤维化，这些你都了解吗@抖音小助手 #肝硬化 #科普 ,https://www.douyin.com/video/7007255546109775112,1821,00:58,https://www.douyin.com/user/MS4wLjABAAAAZg3VLjL9P0DGwWUmIFLLpfjW_7qK6kat15Ty7ybutRU,肝病专家杨民,2月前
上眼睑内侧长黄斑，千万要注意，是身体在警告！#皮肤 #睑黄瘤,https://www.douyin.com/video/6951296857742019876,1.3w,00:15,https://www.douyin.com/user/MS4wLjABAAAAXh4HqukQ2hifjqB44jEcChRSMT74gl_OEQ5-WWBA36C91_6w0pB3ZsOZ47KVPw03,皮肤科教授孙广政,7月前
你一定不知道瘦子也会有脂肪肝@南方健康  #脂肪肝,https://www.douyin.com/video/6777657125167582478,52,00:57,https://www.douyin.com/user/MS4wLjABAAAApOJxHWN7BC79Ed9dtkpgHuCiPD7G3cG85Th1pwdDbeLxG7DpZqrmIzPXPGfoPGDn,李蕴铷,1年前
脂肪肝不知道怎么办的患者，可以参考一下#脂肪肝 #肝 ,https://www.douyin.com/video/7002779192056237342,1.1w,00:41,https://www.douyin.com/user/MS4wLjABAAAA38-EDyJGCnK5UGf460sSV-f0UfwVwr-l1dX4OWh6xJL6t17JU4m1BBqKt_DZ22XZ,广安门陈长怀主任,3月前
#定制你的2021 为什么瘦子也难逃脂肪肝大劫？#全民健康计划 #抖音小助手 #脂肪肝 #dou热门 @河豚健,https://www.douyin.com/video/6918334710028487948,54,00:48,https://www.douyin.com/user/MS4wLjABAAAA925xfVizjA9Hv6s6D8NLJHoDkyukJO1bKuV-xItJpsE,小药师夏夏,10月前
眼皮上长黄色斑块，小心是这个病#睑黄瘤 #科普 #皮肤 ,https://www.douyin.com/video/7013652747430006047,1698,00:15,https://www.douyin.com/user/MS4wLjABAAAAXh4HqukQ2hifjqB44jEcChRSMT74gl_OEQ5-WWBA36C91_6w0pB3ZsOZ47KVPw03,皮肤科教授孙广政,2月前
#脂肪肝到底在肝内发生了什么？看这个视频了解一下！#医学科普 #肝硬化 #乙肝,https://www.douyin.com/video/6900454075171753228,2163,00:51,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,1年前
肥胖引起的脂代谢异常，是糖尿病、高血压以及心血管疾病的根本原因，所以防病治病首先要减重！#肥胖 #心血管,https://www.douyin.com/video/6847740896260246791,1.1w,00:08,https://www.douyin.com/user/MS4wLjABAAAAo53WHma7BlCEQ9-XY3Pf_EeWcGG5NumSVoWojzGhg4fJq0bK9LSehcQYZVJ_EsyS,外科医生董星,1年前
长期使用哪些yao物，会导致脂肪肝!#医学科普 #dou出新知 ,https://www.douyin.com/video/6984304027035110692,161,00:39,https://www.douyin.com/user/MS4wLjABAAAAy6E9c63Salc6LZCp2K3fvaO-e8FuLGj5eozrtNLj6iI,肝病科刘燕玲教授,4月前
脂肪肝产生的7大原因！#中医 #健康 #健康真相官 #创作灵感,https://www.douyin.com/video/6915260468089113870,648,01:34,https://www.douyin.com/user/MS4wLjABAAAAjrDnWGlYlwFGAFER3NoEyFGQ00Z2Okbs8F6NAWVHrQhDuDRo2Fsh-TbAjSmE5Do8,中医马萍教授,11月前
口干，口苦#健康 #中医 #运动 ,https://www.douyin.com/video/7024307177976384798,131,01:04,https://www.douyin.com/user/MS4wLjABAAAADp42zH4VudMxmDikladbEXrxl5QD9hVKu_gAKt5_W-nT8UWq2GgOHHUlRs8E3it6,中医郭志华教授,1月前
吃饱就困不是懒，小心身体#危机 ！你还以为这是正常现象吗？#代谢综合征#内分泌,https://www.douyin.com/video/6872189745758342408,352,00:30,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
减肥期间，代谢指标出现波动，问题出在哪了？#云上大课堂 #减肥,https://www.douyin.com/video/6815126909354036487,236,00:46,https://www.douyin.com/user/MS4wLjABAAAA3biBISc7fCHLwEKZvietLcY-nFEUZErTyZ_LFxhjtIk,临床营养窦攀,1年前
得脂肪肝的人都是胖子吗？ #脂肪肝  #鸡西  @抖音小助手,https://www.douyin.com/video/6863750729778171149,38,01:08,https://www.douyin.com/user/MS4wLjABAAAAOkicc7FIE9Q1pokX5V-M5xcoO0y0lG8lMLAYbsT1FPE,jxscrbyy,1年前
#肥胖患者常伴有#代谢综合征 ，那#代谢综合征是什么？#减重手术 #袖状胃  ,https://www.douyin.com/video/7012810396335705351,365,00:20,https://www.douyin.com/user/MS4wLjABAAAAPjEMcBcE1Tf84nDeaem5ecVuT0vhn4uqj3zBEeHVZl0,减重外科姚琪远主任,2月前
什么是基础代谢差#减肥 #涨知识 #医学科普 #dou出新知 #科普 ,https://www.douyin.com/video/6979514674349870367,3.4w,01:25,https://www.douyin.com/user/MS4wLjABAAAAFGjc-yWHSxgrY900fcAXhFGnPj4OThBhCrv5XNcr_As,医学减重专家陈伟,5月前
我们应该怎么认识肥胖？#肥胖 #科普知识 #睡眠呼吸暂停综合征 #多囊减肥,https://www.douyin.com/video/6881591144883473667,328,00:52,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
#肝教授 瘦子也会得脂肪肝？脂肪肝也会发展为肝硬化？#医学科普 #黄叔论肝,https://www.douyin.com/video/7039971477948550440,1023,01:18,https://www.douyin.com/user/MS4wLjABAAAA2qaVxzuHTSch968ewieL-bgdo9yfv-pSlPEREXKFyzde9p5DfKqMin7P5kZ8DaS4,黄叔 论肝,2天前
脂肪肝是怎么治疗,https://www.douyin.com/video/6967279138189118734,4,02:04,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
脂肪肝不控制住那么代谢问题始终不好爵爵解决#脂肪肝 #糖尿病 #代谢,https://www.douyin.com/video/6936155454057762088,9,00:24,https://www.douyin.com/user/MS4wLjABAAAAZEj2oIn0Wj3toB2W-7U7UrJtbqTCXDagqNGzSKkoq08,中医内分泌专家杨波医生,9月前
医生，体检发现脂肪肝，体重减下去脂肪肝能消失吗？#肥胖 #医学科普 #减重手术,https://www.douyin.com/video/6919803626789604611,4420,00:30,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,10月前
