标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
可以给婴幼儿喂葡萄糖水吗？#育儿 #中食报道 ,https://www.douyin.com/video/7039546257848782088,171,00:53,https://www.douyin.com/user/MS4wLjABAAAAFR3Wa-9tNBs3jlnLmfyHPqVUIvYpvmNB06RHu87_uVo,中国食品报报道,1周前
葡萄糖和果糖哪个好？其中这个糖要特别注意，对身体有危害。#医学科普 #糖 #果糖 ,https://www.douyin.com/video/6983958358311079182,5.2w,01:46,https://www.douyin.com/user/MS4wLjABAAAAplVRs9MDqWiVcLplK199z8ice8be2KcveZisnDNQsZo,浙大医学院沈岳良教授,5月前
葡萄糖有多大的作用，病人为什么都得用葡萄糖，大脑的细胞及其特殊，只能用葡萄糖供给代谢能量,https://www.douyin.com/video/6794089886623255823,5876,00:59,https://www.douyin.com/user/MS4wLjABAAAAz2RmaoL5fr1ZHXEVEyzdwaAcFPtHcu-_mLe_aD8Zt80,小崔文咖,1年前
葡萄糖和果糖，哪个对身体更不好！#医学科普 #糖 #果糖,https://www.douyin.com/video/6934275904982060291,4838,01:37,https://www.douyin.com/user/MS4wLjABAAAAplVRs9MDqWiVcLplK199z8ice8be2KcveZisnDNQsZo,浙大医学院沈岳良教授,9月前
医生术后“豪饮”葡萄糖水引质疑，白岩松：8小时滴水未进，医生也是人！难道我们不也愿意为他付钱喝这瓶水吗？,https://www.douyin.com/video/6895184542819273992,323.9w,00:35,https://www.douyin.com/user/MS4wLjABAAAAgq8cb7cn9ByhZbmx-XQDdRTvFzmJeBBXOUO4QflP96M,央视新闻,1年前
#绿陇农业课堂 你知道葡萄糖为啥叫葡萄糖吗？跟葡萄有关系吗？#葡萄糖 #种植 #三农,https://www.douyin.com/video/6825884946612243712,668,01:00,https://www.douyin.com/user/MS4wLjABAAAAzjbHexnRV-cdlRuxXEPDFkVjTtMShWFqWoI5IV1X9aE,绿陇-农业一枝花,1年前
想过没？为何医生经常给你输葡萄糖呢？其实跟你的大脑有关系！#涨知识 #健康养生 #健康科普  @DOU+小助手,https://www.douyin.com/video/7012624202620603663,1029,00:47,https://www.douyin.com/user/MS4wLjABAAAA-7a95E_IUCRsIQl8z6n2bOiRouIGlPMORUXGQJEOSo5iCbCfLDEN6x0TP3sgNB_E,花花爱自然,2月前
#杠精测评#创作灵感 #葡萄糖补水液 这葡萄糖我相信有好奇的吧 在橱窗，@你们身边的杠精，你们猜会发生什么,https://www.douyin.com/video/6995747982893272357,454,00:29,https://www.douyin.com/user/MS4wLjABAAAA8zPaXv_wjAhOkRFB9ogZVfVkbP6VisFD8QuvEkZ51Po,匪匪评测,4月前
#大脑 的主要能源#葡萄糖 并不是首选能源,https://www.douyin.com/video/6816883213546310927,4.0w,00:52,https://www.douyin.com/user/MS4wLjABAAAAf0uW0m6IDAq-8wG6T5unXAZHuzonyxhOrq-oUMRvTAw,酮能黑客,1年前
葡萄糖在种植中的作用#三农 #农业 #葡萄糖 @抖音广告助手 @抖音小助手 ,https://www.douyin.com/video/7020782276350987556,25,00:59,https://www.douyin.com/user/MS4wLjABAAAAlSvacbzZ0MA8_BD-Qf3YRUJ7IdyHSgY9zj-5qsHUzc8,绿陇直营账号,1月前
葡萄糖为什么叫葡萄糖？它和葡萄有什么关系#上西瓜涨知识,https://www.douyin.com/video/6861179327141137672,165,00:51,https://www.douyin.com/user/MS4wLjABAAAAa1h10dFFudQ_WkzIrEHCle17sGtqvyZpsEDqbpY59t8,西瓜打工联萌,1年前
