标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
NO.203 晚餐吃太晚容易发胖 #健康 #医学科普 #生活小常识 @抖音小助手,https://www.douyin.com/video/6938684796935638284,1021,00:57,https://www.douyin.com/user/MS4wLjABAAAAd4-IxvJqrK1OtpdjZRCTfyGkcViJ7jLime4iIfvDMPE,北大医院骨科孙浩林医生,9月前
无糖饮料里面没有糖，也基本没有热量 @震洋健康  @中医李山山医生  #健康 ,https://www.douyin.com/video/6981710033209871652,80,01:00,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,5月前
无糖饮料，真的可以随便喝吗？医生：带你揭开无糖饮料的1个真相,https://www.douyin.com/video/6980195996412169485,34,01:16,https://www.douyin.com/user/MS4wLjABAAAA3hnn1FW4LwmfPmRWX4KOk7JeAZ-5_qg3LuZd5A6-8ZY,彭李妉医生,5月前
婴幼儿多是继发性乳糖不耐受或原发性乳糖不耐受#乳糖不耐受 #乳糖酶 #宝宝腹泻 ,https://www.douyin.com/video/7042305133614615808,8,01:09,https://www.douyin.com/user/MS4wLjABAAAARIlKXfhYrJBOzSz_8x6OgSW6yd8Pikkq7gwsJRpOiYGUsxZc7cX-8GSYAK59GdnY,吴昱医生科普,2天前
糖的分类第一部分#碳水化合物 #营养 #果糖 #乳糖 #蔗糖 ,https://www.douyin.com/video/7037458492201962792,20,01:55,https://www.douyin.com/user/MS4wLjABAAAARIlKXfhYrJBOzSz_8x6OgSW6yd8Pikkq7gwsJRpOiYGUsxZc7cX-8GSYAK59GdnY,吴昱医生科普,2周前
不建议宝宝长期使用无乳糖奶粉。#乳糖不耐受 #乳糖酶 #无乳糖奶粉 #宝宝腹泻 #宝宝哭闹 ,https://www.douyin.com/video/7041163715210661161,13,00:35,https://www.douyin.com/user/MS4wLjABAAAARIlKXfhYrJBOzSz_8x6OgSW6yd8Pikkq7gwsJRpOiYGUsxZc7cX-8GSYAK59GdnY,吴昱医生科普,5天前
你还在沉浸在危险的甜蜜中么#糖 #糖尿病 #医生 #医学科普 #dou出新知,https://www.douyin.com/video/6851059077141777677,1.4w,00:51,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,1年前
你了解口服葡萄糖耐量试验吗？喝糖水都有哪些讲究？抽血总共抽几次？快来寻找答案吧~#医学科普 #检验 ,https://www.douyin.com/video/7025808539612450079,40,01:03,https://www.douyin.com/user/MS4wLjABAAAALGZe7-IlwmlW3trEA9RS4SbLD9RsiANiFfqkMFkENCyTSLII_UYwQTy09r3u-n4g,中国医学科学院血液病医院,1月前
不做葡萄糖耐量试验可以吗，这种情况还真行#怀孕 #健康dou起来 @南方健康,https://www.douyin.com/video/6820705858926710024,1398,00:40,https://www.douyin.com/user/MS4wLjABAAAACrLPA7yNgsrUVjim0J8yko-39ioUcCk-Y9mh19klYpfkJZNg98DI9r1RVPYP9LzJ,妇产科张医生,1年前
婴儿整天拉肚子，乳糖不耐受怎么办？#返程防护指南,https://www.douyin.com/video/6815890395973569795,3193,00:57,https://www.douyin.com/user/MS4wLjABAAAAO3unr0Uf1ixrhUIuk3zhStmBUKRO94cOTTSSyx6GRuc,儿科张均喜大夫,1年前
宝宝乳糖不耐受怎么办？#乳糖不耐受 #乳糖酶 #无乳糖奶粉 ,https://www.douyin.com/video/7039344380775288098,25,00:44,https://www.douyin.com/user/MS4wLjABAAAARIlKXfhYrJBOzSz_8x6OgSW6yd8Pikkq7gwsJRpOiYGUsxZc7cX-8GSYAK59GdnY,吴昱医生科普,1周前
希望以后大家能多点宽容，多点理解，谢谢大家#知识创作人 #葡萄糖 #中医,https://www.douyin.com/video/6896049102480575756,1179,00:46,https://www.douyin.com/user/MS4wLjABAAAAxEZunk-RErgacPCKid9lNl1awYr5fk_HotG2irKwZMMXkgmdbKycnez2wmp4Pb0L,脾胃科周医生,1年前
血糖降到正常怎么感觉低血糖呢#这个视频有点料 #健康 #科普 @南方健康 @抖音小助手,https://www.douyin.com/video/6806984195760524556,2212,00:46,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
葡萄糖耐量试验的方法是怎样的？葡萄糖耐量试验分2种！,https://www.douyin.com/video/6867470018746060044,47,01:51,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,1年前
血糖控制不达标，常见有4个原因！#科普健康知识 #医学科普 #健康科普 #科普 #涨知识 #医者仁心敬佑生命 #医学知识科普 #健康dou起来 #健康最重要 #健康 #健康养生 @...... 版本过低，升级后可展示全部信息,https://www.douyin.com/video/6998822719592713485,147,02:15,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,3月前
家长纠结：孩子乳糖不耐受能喝葡萄奶粉吗#乳糖不耐受 #育儿 #关爱儿童健康 ,https://www.douyin.com/video/7028471525921606943,178,00:25,https://www.douyin.com/user/MS4wLjABAAAApq4mnnLipiSgAlkGub3wB_ZSMXoYr9qL-uF0atEIuI7xGmwpOKjlj7dBp3yrSDD4,中医儿科医生史英杰,1月前
#健康 #科普 #关爱儿童健康 ,https://www.douyin.com/video/7023303522594671885,248,01:00,https://www.douyin.com/user/MS4wLjABAAAA9fI96RDgNFxC5KkAHk198G93I5lrer102sW_CLCuj_0,儿科陈军民医生,1月前
是否乳糖不耐受要让医生来判断，家长千万不要盲目用yao#魏爸育儿 @魏爸育儿严选（每晚九点直播育儿科普） ,https://www.douyin.com/video/7040267389342092575,1067,00:36,https://www.douyin.com/user/MS4wLjABAAAAbLWm9TVeD8oGTIdPGmKnfvkeaKvFamJipfaxYmCayBXYBMLz7Pzvc7wa1tB4LirE,儿科专家魏光宇,6天前
乳糖不耐受那些事(下),https://www.douyin.com/video/6914102876201553152,104,02:19,https://www.douyin.com/user/MS4wLjABAAAAfBFV7egZcRCCNFbOPkoVRA4eNwPqHXUCQL9772KrJVM,滕姥爷,11月前
有的药，它的服用时间是很重要的，顺序一换，药效全无！,https://www.douyin.com/video/6860805731256454408,515,00:21,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,1年前
做葡萄糖耐尿实验和胰岛素释放实验有哪些注意事项呢,https://www.douyin.com/video/6982856836466724127,173,01:29,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
什么指标才能看出你的血糖到底控制的怎么样？#健康 #一起上头条 @DOU+小助手 @抖音小助手 @抖音推广助手,https://www.douyin.com/video/6888941945243176199,11,01:07,https://www.douyin.com/user/MS4wLjABAAAAAcIFpaUKBBJF-zBaHXicvc7DFkGUhTifcepZSJ778VA,神内周医生,1年前
大家好，我是周琴，今天开始我会在抖音上 跟大家分享关于 宝宝健康方面的知识 ！#周琴医生 #育儿#健康,https://www.douyin.com/video/6941326973562064141,48,00:39,https://www.douyin.com/user/MS4wLjABAAAA8n9u2EP4NcGWWUPo9WNTnlRKenMzQfKM2iNpmTGtCSd2_GFZyd6MfX0iI9VArNFv,儿科周主任,8月前
#糖尿病患者 有哪些症状呢？,https://www.douyin.com/video/6914958667238345984,20,00:22,https://www.douyin.com/user/MS4wLjABAAAA4sxfAl_vcWO3Cf5PhPRr_b2XII6GjI-IauyIGyqFZk0,中山附一皮肤科医生赵玉昆,11月前
什么是乳糖不耐受#乳糖不耐受#育儿,https://www.douyin.com/video/7012152321698286883,68,00:24,https://www.douyin.com/user/MS4wLjABAAAAHP3LhKOBJihQECAgiB8sguRRVl7Z5m6glU48X0DYnxM,认真健康,2月前
临床上什么情况下输葡萄糖？ #医学科普  #dou出新知,https://www.douyin.com/video/6945332242885479717,46,00:33,https://www.douyin.com/user/MS4wLjABAAAAfDU9LSnRr7IpADBgBmO9QoyksfJL9T9Vo9Cr_J8oycc,王亚红,8月前
血糖下降了，尿糖反而4+，是怎么回事？ #葡萄糖  #尿糖  #控制血糖 ,https://www.douyin.com/video/6980985602078510374,6216,00:33,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,5月前
血糖最新标准，赶紧来测一测#血糖值 #血糖测试 ,https://www.douyin.com/video/7038548087844932894,264,00:53,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,1周前
关于孕期做糖耐的注意事项，分三期给大家仔细说说。#医学科普 #孕期知识 #怀孕  #孕期,https://www.douyin.com/video/6922310405821975822,1.9w,00:48,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,10月前
如何科学规避食物不耐受问题#医学科普 #食物不耐受 @抖音小助手 ,https://www.douyin.com/video/6996875735092727070,104,01:58,https://www.douyin.com/user/MS4wLjABAAAAaZQV9ybtMtRMFzs2S42u0_XhrpZq5_OWLhw_3RWycuo,听听医生怎么说,4月前
您皿糖到底控制得怎么样，这项指标能反应,https://www.douyin.com/video/6877686422774517006,2578,01:33,https://www.douyin.com/user/MS4wLjABAAAAtuDOOW5KSrm2TaKAVU2Vp2smhvaSSqlbGqD6Q-f3YtQ,神经内科宋璞医生,1年前
做糖耐量试验的时候，这几点一定要注意，不然可能会导致糖耐结果不准哦！#糖耐 #我为医者 #孕期 #我要上热门,https://www.douyin.com/video/6844063722982477064,6674,00:39,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,1年前
早期发现糖尿病，及时控制便正常#清风计划 #我的养生日记 #糖尿病 @南方健康 @头条健康,https://www.douyin.com/video/6731723701349256452,1829,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
#食物不耐受 ,https://www.douyin.com/video/7008079447484124457,87,02:36,https://www.douyin.com/user/MS4wLjABAAAAXrYZRqwzq9onK7hclgD1K-JoVacdVyrKy7Lg6-Wu1T67Uvh1UjjlIVEqwpzOhwVV,天津市第三中心医院,3月前
#乳糖不耐受 #治疗#中医育儿经验分享,https://www.douyin.com/video/6837432676975217928,305,00:34,https://www.douyin.com/user/MS4wLjABAAAAXZHDrAHKVe2vY4K16WEVWMbZpcadhn6DtQKOxYWgVw8ts7qj6zV1A1AFTzI1pJe8,中医育儿谢兰星,1年前
宝宝乳糖不耐受有何表现？如何处理？#母婴 #宝宝乳糖不耐受  #知识创作人 ,https://www.douyin.com/video/6978390530803633422,5591,01:31,https://www.douyin.com/user/MS4wLjABAAAA6Bp_rWLKxQ_RqOZbFCS4ViLy8qIDAzHsIcVSvUq14dk,儿科姜主任,5月前
如何判断自己是否得了糖尿病？#糖尿病 #医学科普 #健康科普 ,https://www.douyin.com/video/7015399890259807495,1658,02:47,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,2月前
#保健 #关节 #安全用药行动 #全民健康计划 @河豚健康 @药学部红药师 @健康守护（老年病科蒋医生）,https://www.douyin.com/video/6843982328134405384,18,00:54,https://www.douyin.com/user/MS4wLjABAAAA0lLz5ae3w5nCswGUNQGcHKrkXeNwxp6LUnP83pjb63WF2T_cus2IBKaBRJoccxd8,小毅药师,1年前
宝宝对一些食物不耐受时怎么办？ #食物不耐受  #宝宝  #育儿,https://www.douyin.com/video/6930593493337312520,381,00:24,https://www.douyin.com/user/MS4wLjABAAAAlkhFd081uxMeNF7S3sQ4S7QyC2STsorzAbnZC7paJSY,儿科医生燕润菊,9月前
#糖耐量异常 者更应该关注自我#健康 ！这样做，不花一分预防#糖尿病 ！#内分泌 #养生 #中医,https://www.douyin.com/video/6874427599481818372,586,00:23,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
食物不耐受检查科学吗？ #人人dou是科学家  #心脏健康  #科普,https://www.douyin.com/video/6785378741884439815,1361,01:04,https://www.douyin.com/user/MS4wLjABAAAAc621SmqOnLQBoEtzJEZPLeWhcb94l55IESlzqUPVDW0,丁荣晶-心脏康复,1年前
乳糖不耐受有哪些症状~~#健康科普 #医学科普 #乳糖不耐受 @抖音小助手 @抖音科普 ,https://www.douyin.com/video/7022813168665677064,159,00:50,https://www.douyin.com/user/MS4wLjABAAAAli4P87jKuwgRlLVNPX4P0OrW0Ys5X0OoBZoJhMP-iwQ,山西省人民医院,1月前
食物不耐受检查原理 #食物  #乳糖不耐受  #营养,https://www.douyin.com/video/6892932767936449799,693,01:09,https://www.douyin.com/user/MS4wLjABAAAAc621SmqOnLQBoEtzJEZPLeWhcb94l55IESlzqUPVDW0,丁荣晶-心脏康复,1年前
