标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#李焱主任 如何预防糖尿病前期转变成糖尿病 #糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/6961611419359939848,7672,00:37,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
糖友什么时间运动比较好？#健康真相官 #糖尿病 #运动,https://www.douyin.com/video/6915318676954696973,1634,00:30,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,11月前
糖友什么时候运动最好？#医学科普 @抖音小助手,https://www.douyin.com/video/6963948085923826976,70,00:40,https://www.douyin.com/user/MS4wLjABAAAAXvlS0q3cobQfc7d6j8f2etxi85K3dlzGmEzDch0yKm1iDlKZHaulXWQXmZEjhBiO,内科邓晋红,7月前
新认识，看到是缘分 #糖尿病 #健康饮食,https://www.douyin.com/video/6920385614282099981,6482,04:40,https://www.douyin.com/user/MS4wLjABAAAAFzVJ03SogiELEqavGZZ8Ovr3wUsFbVj0HeqqETVFLuU,亚维健康,11月前
一个体重60公斤健康的人，血液中含有多少葡萄糖，你必须要知道 #知识分享,https://www.douyin.com/video/7038393886623993095,3,01:10,https://www.douyin.com/user/MS4wLjABAAAAAtzo0zT-VEuidwdXcIkAPOmhkwgOS7apqJXI_Ld5i3o,落落,2周前
,,34,03:55,https://www.douyin.com/user/MS4wLjABAAAAcM3n19dmBh_CRaWq6pbm779NARlDv-10i1RE8sUuglo,店头医院药剂师邢丰收,9月前
,,7,00:46,https://www.douyin.com/user/MS4wLjABAAAAwvBgdHaYnJKYR0-uw6NFORVXeltEXB1h43mJJafsu-o,国医说81628800,1年前
想要调节血糖，注意这几点，别再给黑心商家送钱了中不中？！#健康 #医学科普 @DOU+小助手,https://www.douyin.com/video/6910120171281698048,48,00:46,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,11月前
抗糖老简悄悄告诉你【健康源头】的秘密…#减肥 #减肥小知识 #抗糖化 #健康减脂 #健康新生活 #抗糖,https://www.douyin.com/video/6968018295526018308,50,00:18,https://www.douyin.com/user/MS4wLjABAAAAddied362j0mXWFrFqFrcqW6HCcRE6YojH6FTD22LoPOR5Ezb65O3IaBJiHylQJ8l,抗糖老简,6月前
#用美图秀秀剪视频 #营养健康 #健康餐 #健康减肥 #健康饮食,https://www.douyin.com/video/6977130861045075208,111,01:11,https://www.douyin.com/user/MS4wLjABAAAA5o6kFTnRVOJ0mxnMHUb7Cf3gU8zhB8ZB-RssiBv91w0,克来木dohtur,5月前
降糖药容易造成低血糖，但这4种一般不会！#糖尿病 #降糖药 #低血糖 @抖音小助手 ,https://www.douyin.com/video/7019591737018436894,277,02:23,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
