标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
什么情况需要做糖耐量试验#糖尿病#科普知识,https://www.douyin.com/video/6997685779698912548,91,00:24,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,3月前
什么情况可以做糖耐量试验？#糖尿病科普 #糖耐量 ,https://www.douyin.com/video/6994243097798397197,2904,00:36,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,3月前
血糖最新标准，赶紧来测一测#血糖值 #血糖测试 ,https://www.douyin.com/video/7038548087844932894,201,00:53,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,6天前
案例分析：糖耐量异常,https://www.douyin.com/video/7009841972210978080,5585,03:27,https://www.douyin.com/user/MS4wLjABAAAA-9RDtCKbgT40O0R-oBSbhHvdCKTKcYXNXcr-cYh_4kmwZUZXuU9TWXQrTTrrfyf_,马欣教授,2月前
#糖耐量异常 者更应该关注自我#健康 ！这样做，不花一分预防#糖尿病 ！#内分泌 #养生 #中医,https://www.douyin.com/video/6874427599481818372,584,00:23,https://www.douyin.com/user/MS4wLjABAAAApmCxkrR5RwkgmHbjyqkoYV53AfS8WhzWCsE0ssBz1Wg,连博士说内分泌,1年前
早期发现糖尿病，及时控制便正常#清风计划 #我的养生日记 #糖尿病 @南方健康 @头条健康,https://www.douyin.com/video/6731723701349256452,1828,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
血糖控制5678是什么意思你知道吗！,https://www.douyin.com/video/7005851125328989452,44,00:42,https://www.douyin.com/user/MS4wLjABAAAAjqKdu7m0zWsmFWeH3OQk2K7G0zcRbjG4KhIV5DUUJP_8kKsRg1tHjA--8HaEhLps,李平医生,3月前
提醒大家：空腹血糖受损和糖耐量异常，也称糖尿病前期！虽然还不算糖尿病，但如果不干预，很容易发展成为#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7012544913271278856,8311,00:06,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
都是肥胖惹的祸。,https://www.douyin.com/video/6825013925789109515,2470,00:36,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
孕期必做的检查都有哪些？不做行不行？#孕妈必看 #第一次怀孕一定要知道这些#北京市海淀医院 #孕期产检 ,https://www.douyin.com/video/7023711874927627527,79,00:31,https://www.douyin.com/user/MS4wLjABAAAACvviqSQSjAPMFZMgGRmvV-92EafXC2qEndRv2kPEnDlCZ9FKRrFTAboQAkUdejV1,北京市海淀医院,1月前
