标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
糖耐量实验，选75g葡萄糖or馒头餐？ #糖尿病 #糖耐量筛查 #糖尿病科普,https://www.douyin.com/video/6937894148976413965,1119,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,8月前
为什么要做糖耐量试验？ #糖筛  #糖耐量  #妊娠糖尿病   #全民健康计划  @河豚健康,https://www.douyin.com/video/6901940995617737992,2415,00:58,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
葡萄糖耐量试验的方法是怎样的？葡萄糖耐量试验分2种！,https://www.douyin.com/video/6867470018746060044,47,01:51,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,1年前
你了解口服葡萄糖耐量试验吗？喝糖水都有哪些讲究？抽血总共抽几次？快来寻找答案吧~#医学科普 #检验 ,https://www.douyin.com/video/7025808539612450079,39,01:03,https://www.douyin.com/user/MS4wLjABAAAALGZe7-IlwmlW3trEA9RS4SbLD9RsiANiFfqkMFkENCyTSLII_UYwQTy09r3u-n4g,中国医学科学院血液病医院,1月前
糖耐量测试，诊断糖尿病的金标准 #糖尿病科普  #糖尿病 #医学科普 #健康真相官,https://www.douyin.com/video/6901217599300963591,1188,00:40,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
什么情况可以做糖耐量试验？#糖尿病科普 #糖耐量 ,https://www.douyin.com/video/6994243097798397197,2911,00:36,https://www.douyin.com/user/MS4wLjABAAAAxjl17z-31dXFiJJ9eeXPZyHrn6OvqpCoXa-cK6j3npU0p2Y4vVhqtfLgPYEkLgzJ,糖尿病专家顾耀,3月前
67号作品：手把手教你轻松做好孕期糖耐量  #医师讲堂抖音大赛,https://www.douyin.com/video/6777543751956040968,305,01:00,https://www.douyin.com/user/MS4wLjABAAAA6Km9l_rXONFfBODwk1e57txeB51hT_MdK54ScDeSXzI,健康上海,1年前
什么情况需要做糖耐量试验#糖尿病#科普知识,https://www.douyin.com/video/6997685779698912548,91,00:24,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,3月前
做OGTT试验，葡萄糖要喝这么多，你喝对了没？@河豚健康 #全民健康计划 @抖音小助手,https://www.douyin.com/video/6888969479905234176,62,00:46,https://www.douyin.com/user/MS4wLjABAAAAZGk2l6YemFDtFO1WgmPMxWlYqpcbtIGzMRv5dKsrvJY,furong药师,1年前
关于孕期做糖耐的注意事项，分三期给大家仔细说说。#医学科普 #孕期知识 #怀孕  #孕期,https://www.douyin.com/video/6922310405821975822,1.9w,00:48,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,10月前
#三院健康 每日一课：糖耐量试验 检验孕期糖尿病金标准,https://www.douyin.com/video/6903453648190229763,139,01:00,https://www.douyin.com/user/MS4wLjABAAAAyU8n-9_X5a5zL_7u1uD2EILfpmueWjW3ni502fwckUY,郑州市第三人民医院,1年前
妈妈们最害怕的糖筛一定要做嘛？#孕期 #孕期知识,https://www.douyin.com/video/6963559438447824168,21,00:39,https://www.douyin.com/user/MS4wLjABAAAAmcNXfToiuj6Z3YmyQ8ano7vCbjoYTXgRB-YZmYO3ZGx_3k1fxdOlxOTzCGH59z2v,蔡蔡说营养,6月前
做葡萄糖耐尿实验和胰岛素释放实验有哪些注意事项呢,https://www.douyin.com/video/6982856836466724127,172,01:29,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
空腹血糖7.5为什么还要做糖耐量试验#医学科普 #糖尿病 #科普一下 @DOU+小助手,https://www.douyin.com/video/7038729748058574113,1105,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,6天前
妊娠期的血糖标准，和普通人群是不一样的 #孕期高血糖 #妊娠期糖尿病 #孕期血糖 ,https://www.douyin.com/video/6987291763518000392,923,00:36,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,4月前
#揭阳 #产检 #妊娠糖尿病 准妈妈，您做葡萄糖耐量试验(OGTT)了吗？您孕期血糖数值正常吗？,https://www.douyin.com/video/6951929621331938598,125,00:53,https://www.douyin.com/user/MS4wLjABAAAAsF_im-KtZC4CTI-HNugwXEOgKqt-LekgI0BZ7EdbMeM,榕城区妇幼保健院,7月前
这是糖尿病吗？#医学科普知识 #医学科普 #糖尿病,https://www.douyin.com/video/6985824083443272971,1390,00:47,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
体检时发现空腹血糖6点多怎么办？【听我说血糖】 #听我说血糖   @李沁,https://www.douyin.com/video/6813230989704301828,1412,01:26,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
做糖耐量试验的时候，这几点一定要注意，不然可能会导致糖耐结果不准哦！#糖耐 #我为医者 #孕期 #我要上热门,https://www.douyin.com/video/6844063722982477064,6666,00:39,https://www.douyin.com/user/MS4wLjABAAAAW98-toG70W270pHNEb3BASR3lDwoBXu9LGGm0QffL5VLlDfLhVtq1LEUed6c-wlT,妇产卫士李主任,1年前
空腹血糖7.1、服糖后两小时10.5、糖化血红蛋白5.6%，是糖尿病吗?#糖尿病 ,https://www.douyin.com/video/7019468975667006757,2202,02:40,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,1月前
测血糖有时高、有时正常，想知道自己是不是糖尿病要做什么检查？#糖尿病 #医学科普 ,https://www.douyin.com/video/7011680419494120734,399,03:14,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,2月前
OGTT是什么,https://www.douyin.com/video/6967279216639429926,3,01:17,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
很多糖尿病患者问门诊需要做哪些检查，糖耐量试验是其中最重要一项检查#减重手术 #糖尿病 #健康#糖尿 ,https://www.douyin.com/video/7036216601770757406,384,00:08,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,1周前
空腹血糖7.1餐后血糖10.5能诊断糖尿病吗？,https://www.douyin.com/video/6939857456734457118,33,02:49,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,8月前
不要忽视妊娠期糖尿病检测（妊娠24-28周之间）#妊娠期糖尿病 #孕妈 #孕,https://www.douyin.com/video/6901586308985081101,926,00:11,https://www.douyin.com/user/MS4wLjABAAAAh9mHlRMtsFMaz9BQ05Hp2H5LZ1dHTa8dPzWnHAvnTwU,产科宝医生,1年前
正常血糖值是多少？多少算高血糖？ #正常血糖值  #高血糖  #血糖值 ,https://www.douyin.com/video/6978087355303431427,3.8w,00:36,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,5月前
符合这些，就是妊娠糖尿病了 #妊娠期糖尿病  @抖音小助手,https://www.douyin.com/video/6890727053834898695,22,00:41,https://www.douyin.com/user/MS4wLjABAAAA9Fp7HRGDSV8j1xA8lSkesITSBa6asbjbbS4Cmo4bpmA,大家来养生,1年前
不做葡萄糖耐量试验可以吗，这种情况还真行#怀孕 #健康dou起来 @南方健康,https://www.douyin.com/video/6820705858926710024,1393,00:40,https://www.douyin.com/user/MS4wLjABAAAACrLPA7yNgsrUVjim0J8yko-39ioUcCk-Y9mh19klYpfkJZNg98DI9r1RVPYP9LzJ,妇产科张医生,1年前
,,51,01:02,https://www.douyin.com/user/MS4wLjABAAAA-_5GTo5P9B4T6Bz-kKCdABtdeWImZqjLxPHyxRONdKc,台州市第一人民医院护理部,1年前
早期发现糖尿病，及时控制便正常#清风计划 #我的养生日记 #糖尿病 @南方健康 @头条健康,https://www.douyin.com/video/6731723701349256452,1828,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
如何判断糖NB，能够恢复正常嘛？判断新标准，以下标准达其一即为确诊,https://www.douyin.com/video/7031348903920405767,25,02:24,https://www.douyin.com/user/MS4wLjABAAAAsaXJDhJQJ-_iCFkQsbxKO7ZyMQ444SFnX3L6G3Al79A,setv健康大不同,3周前
,,48,03:21,https://www.douyin.com/user/MS4wLjABAAAAA6ecIDkkHqdEWNjJ5cWIeBT-j9J2e3YHS4x1tQdGeWVafUWSYFxQMrlM69_N7sTx,中医张英栋主任,8月前
