标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
今天来说一说口服降糖药阿卡波糖的用药注意事项~#医学知识科普 #药品 #守护健康 ,https://www.douyin.com/video/6991618958948437255,26,01:55,https://www.douyin.com/user/MS4wLjABAAAAfzrv_AnW3i1nzfAhQ0X_K2q9aDO3WfyBEfmkcmoF7EA,青岛市黄岛区中心医院,4月前
糖尿病用药主要有哪些？医生给你详细解读！,https://www.douyin.com/video/6867472503728622852,24,01:43,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
 #糖尿病  糖尿病用药误区,https://www.douyin.com/video/6746759246966312195,29,01:33,https://www.douyin.com/user/MS4wLjABAAAAyosBDJG0eCuVMs5vWQ_a8OTJdow9xglY2HjZbqZIu8w,襄阳市第一人民医院,2年前
有减重作用的四类降糖药#糖尿病#科普知识,https://www.douyin.com/video/6989138780145929485,1059,00:45,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,4月前
#风湿病 #医学科普 ,https://www.douyin.com/video/6998042329693064452,820,01:09,https://www.douyin.com/user/MS4wLjABAAAAI1YvXStvK5nHhEC1bnrPfLh2UmzZOt_V3M7-kD6DG-eXxZYQ-4A_Pu-itRfFpNP1,风湿科博士周新尧,3月前
降血糖的药有哪些？,https://www.douyin.com/video/6924963627292298508,71,02:14,https://www.douyin.com/user/MS4wLjABAAAAZsSVLB7sbPnL3jVXkEKg4Nc4PBkRAe1CVq56Drq5P2Y,湖南省脑科医院（省第二人民医院）,10月前
第一条抖音,https://www.douyin.com/video/6865327297168264461,477,00:17,https://www.douyin.com/user/MS4wLjABAAAAwEcmR1C_J5b1GvohIz3tLCoC2xRMABlCM49Yf6ChqMo,Gemini,1年前
记住，国家批准干预糖前期的药物只有一个！@DOU+小助手,https://www.douyin.com/video/6851053753508826380,7369,00:51,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
禁yu天数越长，米青子质量越好？#怀孕 #女性健康 ,https://www.douyin.com/video/6977333918240460047,101,01:17,https://www.douyin.com/user/MS4wLjABAAAApJzdevk7xR4F6NaGQtgGOXlY28_trtojDHtBy78G2eI,付虹医生,5月前
口服降糖药物，你要知道6个原则！#降糖药 #糖尿病 #糖尿病科普 @抖音小助手 ,https://www.douyin.com/video/7017389237083327775,917,02:19,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,2月前
餐后高血糖为主用什么药#健康 #科普 #这个视频有点料 @南方健康,https://www.douyin.com/video/6791091416056515843,3481,00:58,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
推荐一位非常好的儿科医生   #儿科 #医生 #正能量 @协和儿科王晨 ,https://www.douyin.com/video/7005094294868479273,3575,00:44,https://www.douyin.com/user/MS4wLjABAAAAmJZRvHrnQomhoMR7wU3myBxQpfeqWsCz2HcRRbFtx_BcKtuQ7VkDrVt_iGdGy2MV,北京协和皮肤与医美孙秋宁,3月前
有口服治疗#hpv的药物么#南方健康 #健康科普,https://www.douyin.com/video/6909989097851407623,287,00:25,https://www.douyin.com/user/MS4wLjABAAAAUYKxHqcOXX8rvYyR7_0zIbyIB8YGyBVSGDbcvBA4FDP3-8LHrEM-HhOsYToHTlIj,皮肤性病科高主任,11月前
