标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#葡萄糖耐量试验 #糖耐 #控糖 #OGTT 你会做糖耐量试验吗？,https://www.douyin.com/video/6966081031736773924,11,00:53,https://www.douyin.com/user/MS4wLjABAAAArTX3p08dmkW7Oh1RLbnTwBa8MgygapuT6hOdC74jxZg,热爱健身陆医生,7月前
葡萄糖耐量试验的方法是怎样的？葡萄糖耐量试验分2种！,https://www.douyin.com/video/6867470018746060044,49,01:51,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,1年前
#创作灵感 我们的小姐姐告诉您糖耐量怎么做#减重手术 #doudream创作者计划 #糖尿病 #减肥打卡 ,https://www.douyin.com/video/6995756865971866895,52,00:50,https://www.douyin.com/user/MS4wLjABAAAA8zhvpmhHXG-RiDi7afgw0pzM4FohU0pV3qI9srYJVVY,减重代谢专家罗丹,5月前
葡萄糖耐量试验怎么做呢？爱喝咖啡的小施医生为您详细解答！,https://www.douyin.com/video/6900125652121341196,42,01:04,https://www.douyin.com/user/MS4wLjABAAAAP8H0M7WcoeuHh5W6_WT67Atulwz7HT8WJIAC7TEwDPc,615304797,1年前
什么是ogtt试验，不同结果代表什么意义，快来看看吧#糖尿病 #糖耐量 #血糖 @抖音小助手,https://www.douyin.com/video/6858953464165240079,1016,00:53,https://www.douyin.com/user/MS4wLjABAAAAy1yo99PXE1EVYlW2Sb0a7pn4EgLebU472sR7RMux10w,liuzheng06,1年前
糖耐量检查怎么做#创作灵感 ##控糖 #糖尿病 #热门 #逆转糖尿病,https://www.douyin.com/video/6997243425623985447,1470,02:44,https://www.douyin.com/user/MS4wLjABAAAAcvoGtoBKj-PAd934ueSLL6Fo-xOvm-k0IYu0s8HIoZE,糖友大度,4月前
葡萄糖耐量测试怎么做，你知道吗？听听新绛县人民医院妇产科护士怎么说！#产检 #孕检 #好孕 #怀孕日记  ,https://www.douyin.com/video/7031452981698563358,16,01:48,https://www.douyin.com/user/MS4wLjABAAAAF_p7Hld62C0xrC5sh97sUk38PJHWkh9nQ6NmXj-HyUk,新绛县人民医院,1月前
#科技改变生活 #动态血糖仪 #智能穿戴 #糖尿病微泰医疗-持续葡萄糖监测系统G7,https://www.douyin.com/video/7037432606517972254,27,01:18,https://www.douyin.com/user/MS4wLjABAAAAkI3HQ-82hGoMS-Sc9aNFo1bvTJ_nKSQ2OKV2yErvcYE,王安～大伟,1月前
#全民健康计划 #怀孕#葡萄糖#怀孕后葡萄糖耐量试验怎么做@河豚健康,https://www.douyin.com/video/6828883329924730112,22,00:33,https://www.douyin.com/user/MS4wLjABAAAAxtQ6-8taStiQi-4c-hyeyLroFlmuo0OLd923K-DUIkA,锦澜绽放,1年前
lgx,https://www.douyin.com/video/6967594238007692544,14,02:10,https://www.douyin.com/user/MS4wLjABAAAA_fpO-g5DaC3GbOqQ598i9CrclS9VETbDRkTWOCG3OWU0isUB90vMJew2YY770C8W,lgx,7月前
人川刘药师,https://www.douyin.com/video/6870651487207410951,29,00:44,https://www.douyin.com/user/MS4wLjABAAAADmDMFfdBdBC8l1HT3gqGab5VkgReaD5MhOPR40pQnZU,人川刘药师,1年前
抗糖记，动态葡萄糖监测仪到底好在哪？#控糖 #糖友  @DOU+小助手,https://www.douyin.com/video/7022174988560026891,2523,01:19,https://www.douyin.com/user/MS4wLjABAAAAK6amSkm2I30r5yf1T-ue-tf3HmJt65U0hOQf0CxjFmY,抗糖记（逢牛网络科技）,2月前
抗糖记，葡T糖监测仪是怎么获得我们的X糖数据的#糖友 #控糖 #抗糖 ,https://www.douyin.com/video/7039326655264951585,149,01:26,https://www.douyin.com/user/MS4wLjABAAAAK6amSkm2I30r5yf1T-ue-tf3HmJt65U0hOQf0CxjFmY,抗糖记（逢牛网络科技）,1月前
