标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
血糖试纸上有黄金？#科普 #萌知计划 #科普知识 #充能计划 #夏盛酶制剂 #涨知识 ,https://www.douyin.com/video/7007682445797625119,313,00:43,https://www.douyin.com/user/MS4wLjABAAAACtuKo1w-VxFdXOnzrQ5W1PKpzhcLWPF1TAwWrv_68P8,夏盛酶制剂,4月前
这样选血糖试纸更适合你！#健康 万较瘦满满干货送给你~#健康科普 @万较瘦聊健康 ,https://www.douyin.com/video/6996924949038517516,36,02:02,https://www.douyin.com/user/MS4wLjABAAAAVQLsMnw0uDmxNf5Z0OULNPFz6n2FN-tfJydmklf06sY,Union_Health,4月前
国家免费义诊健康体检进行时,https://www.douyin.com/video/6955595936575802627,56,00:15,https://www.douyin.com/user/MS4wLjABAAAAmpvR0KPY7JQUs6q6rBPCXEeM5d4eaQAfJ7N1lYe-to5WLKs9MLqzhuHEicCz-8Hj,薇忆笑,8月前
血糖仪，血糖试纸到货,https://www.douyin.com/video/6684193016447552771,9,00:25,https://www.douyin.com/user/MS4wLjABAAAAyfWO9AzASKCpNivKqN3x36skRrgJM-oZ7v1MK9aHKUg,石源堂,2年前
大屏血糖仪和试纸来了,https://www.douyin.com/video/6953895367649856804,1,00:09,https://www.douyin.com/user/MS4wLjABAAAAlldT2LgxUpoKoDE4U0CxeKwelBE-k2mcbMNytpEEpYA,坤,8月前
甘肃诺亿康（远达）医疗器械销售公司,https://www.douyin.com/video/6981448880542027047,9,00:22,https://www.douyin.com/user/MS4wLjABAAAAN_4lDdtrbkTpF2rzKMQeJFNv2qFC-H0B3rHEKbzQNe66gFRIEYJ6PALML3toGE3Z,～～无名～～,6月前
王小皮,https://www.douyin.com/video/6951366625677298955,17,00:10,https://www.douyin.com/user/MS4wLjABAAAAe3AjZMbMCqAsVSOPCf6TQRof3Kb5fLkjaSNO2rRtNWc,王小皮,9月前
达乐爱先思#达乐 ,https://www.douyin.com/video/7038184075294772514,3,00:51,https://www.douyin.com/user/MS4wLjABAAAAM3zunwSpRlj5Kxf9htgf-BiJSpYU57lwPveOgKd3IQt2zT0-RSNM4GghY85L2v4Y,一路黄花,1月前
专业的力量,https://www.douyin.com/video/7005380972476730662,5,00:24,https://www.douyin.com/user/MS4wLjABAAAAaTQqxYHQlsFNUkvm4_SiiFPV3C_XasN7Sbsc45WiSNrkNHtaUurz8tMrOwdjDZ-M,113116O,4月前
好几天没血糖试纸条了,https://www.douyin.com/video/6924832112164064516,66,00:14,https://www.douyin.com/user/MS4wLjABAAAAz9vcucYpzHVSM5uzZ-qLXSZ4khQfgziZh7qa1HP-gaw,王立,11月前
#食品安全 完美一生糖、沙棘茶尿糖测试结果可以放心吃,https://www.douyin.com/video/6895965279839374592,10,00:11,https://www.douyin.com/user/MS4wLjABAAAAw0dJTtdXoVu7bpaiNVNqCCY0FzYkRtSKaUR0hxQNaAs,铁英,1年前
血糖检测操作误区，您中招了吗？,https://www.douyin.com/video/6952282426093604127,2,01:03,https://www.douyin.com/user/MS4wLjABAAAAkjBVYzjJaJonFDtuaKMYw6YOAkO8FkAlkgC0OpyDRxo,医疗器械知识普及号,8月前
血糖试纸自动送料分切机#切条机 #血糖试纸自动化设备 #专业生产厂家 @抖音小助手 ,https://www.douyin.com/video/7011745322795846916,11,00:40,https://www.douyin.com/user/MS4wLjABAAAALfALSmKMi1ZODmw_am_idHq5vu6FV04R4frQFbj4rzARTgOWkzlzR5XvBdoKTfTu,领航智造,3月前
#与世界美好重逢,https://www.douyin.com/video/6965051130112003362,5,00:09,https://www.douyin.com/user/MS4wLjABAAAA_4XdCxyLOoAB6CzKGiX86YgexVo3ZturROKPBvSTkO4,梁静,7月前
血糖试纸怎么用,https://www.douyin.com/video/6927901512953875719,3,04:13,https://www.douyin.com/user/MS4wLjABAAAAqEs_ofqHoVPI0j3GUbmvIdG-UTb_veCsC3NZmnmdb2I,医视点,11月前
龙凤体系.李少龙,https://www.douyin.com/video/7021603193788452130,3,00:14,https://www.douyin.com/user/MS4wLjABAAAA37e1xeJllxF_MmJBsg-A8E57oK5eUrvHD5y-LfZsDfc,龙凤体系.李少龙,2月前
告诉你们个小秘密，血糖试纸的盖子里面有神秘东西哟，听说只有护士才能发现#护士懂护士,https://www.douyin.com/video/6741324425825668355,186,00:54,https://www.douyin.com/user/MS4wLjABAAAAKNOzQMbieTlQPVE6uDXt4BmPEKIFC1PbDmQrv9QVook,S仙婆婆S,2年前
血糖试纸#控糖 #血糖试纸 #无糖食品,https://www.douyin.com/video/6941559564013817101,18,00:15,https://www.douyin.com/user/MS4wLjABAAAAoWRgjsffkSWr2HITgA-s1mP_PtB5KhAnoJVKNlcbRSk,厦门无糖食品,9月前
血糖测试条自动装盒,https://www.douyin.com/video/6838103158183496975,7,00:37,https://www.douyin.com/user/MS4wLjABAAAA5ntJOJtMPqElxZXpMvrbfR9w1cgdhPdVBCnWMAbdSeg,温州高尚包装机械有限公司装盒机厂家,1年前
教妈妈用血糖仪,https://www.douyin.com/video/6764251562832350468,132,00:37,https://www.douyin.com/user/MS4wLjABAAAAsyjMF2pNYr4TdaXYIJKnzpCKLJAd3-Do61S1Wzwsfm0,雪子哥.,2年前
血糖试纸小卡分切机#裁切机 #血糖试纸自动化设备 #专业生产厂家 @抖音小助手 ,https://www.douyin.com/video/7011807693623020804,11,00:31,https://www.douyin.com/user/MS4wLjABAAAALfALSmKMi1ZODmw_am_idHq5vu6FV04R4frQFbj4rzARTgOWkzlzR5XvBdoKTfTu,领航智造,3月前
人川刘药师,https://www.douyin.com/video/6870651487207410951,29,00:44,https://www.douyin.com/user/MS4wLjABAAAADmDMFfdBdBC8l1HT3gqGab5VkgReaD5MhOPR40pQnZU,人川刘药师,1年前
血糖试纸大量出货有需要的私信我吧,https://www.douyin.com/video/6968745390019579139,17,00:39,https://www.douyin.com/user/MS4wLjABAAAAwPC2zandVKu3MABP5Iji8MjeZcZcOL0OvOaPUfEWQObkb91uhaqinDQFqw3FndS7,永信医疗,7月前
卡在血糖这块了餐后血糖高了，没爱了，要控制饮食，不能吃甜的了，好多都不能吃了心塞难过#孕期控糖,https://www.douyin.com/video/6860459211059481869,19,00:09,https://www.douyin.com/user/MS4wLjABAAAAXZNjdoV9ALcS7VQ-EItII3pmFhCLQ16gU1ILAsMGuoY,藏于心,1年前
#健康最重要 #养生 #健康科普,https://www.douyin.com/video/6970497371662732579,13,00:47,https://www.douyin.com/user/MS4wLjABAAAAhnuHdIjWylZ6d0z8m4BhQyfDHM5R7l033zyICylXANOa2p0YwuLAgw0ma3HVbMYN,老孙学糖,7月前
