标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
大爷患上的是名为蜂窝组织炎的病症，这种病是典型的糖尿病并发症。@抖音小助手,https://www.douyin.com/video/6884397166509460751,32,00:39,https://www.douyin.com/user/MS4wLjABAAAAy8mcTl2GfQaOq51ExdPhwwBLN2CwnbyglIa6O12vFwA,健康有一套,1年前
血管和淋巴发炎了，导致血管不通，就会引起各种毛病，放心，中医有办法治！ #中医  #健康科普 ,https://www.douyin.com/video/6980897998477724941,137,00:56,https://www.douyin.com/user/MS4wLjABAAAAcHIi3naCjRDFQpX8hfsDMZ788Lz1Ltt5WVKkyR3jZjDX6gZsIYwYYZ9YDYczbTYv,刘风华,5月前
颌面间隙感染是怎样形成的，又该怎样治疗？#医学科普,https://www.douyin.com/video/6879309821309488392,73,00:32,https://www.douyin.com/user/MS4wLjABAAAAYZoIflCxtLB3iwX_W0DyQ5GcXaFA84TnvjIxBBePwKA,渭北中心医院,1年前
大家不要小看智齿的威力~参与央视录制，讲了讲脖子疼和淋巴组织的关系#医学科普 #智齿 #脖子疼 @抖音小助手,https://www.douyin.com/video/6905274044396899597,164,00:41,https://www.douyin.com/user/MS4wLjABAAAAcK72Y-UrAMRb3xI7aR4D6HKXpkzNLsAYt6Zki0034iV6w4gHanH9tYtdWIF7jVhm,牙周种植医生乔敏,1年前
老年人如何正确泡脚呢#医学科普 #科普 #dou出新知 #健康科普 #健康养生 #老年人 @抖音小助手 ,https://www.douyin.com/video/6980235423511547168,1381,01:09,https://www.douyin.com/user/MS4wLjABAAAADjQzxPppb0Qvn3zCvvpxOdvGkvo2kqLDiDWyN3aFhaPQ5RDX9h1Np0IeY3u7ITf7,齐海梅医生,5月前
中医治毛囊炎有优势！#刘翠娥治毛囊炎 #穿掘性毛囊炎 @DOU+小助手 ,https://www.douyin.com/video/6988054926685392158,1000,01:02,https://www.douyin.com/user/MS4wLjABAAAA1ixUyCyYLcT_yzNflTPNc5yq9tciXa4vcx12K40J9GY,皮肤科刘翠娥主任,4月前
肛瘘只能手术治疗？#肛瘘 #医学科普 #健康,https://www.douyin.com/video/6915999396601564430,1451,00:35,https://www.douyin.com/user/MS4wLjABAAAA65dsL4QycLwUC2mE2XAkYer6vd_wTuOrRxEh-oe5pgYscfgbg9uuHUABIcZtpU7c,中医肛肠教授李建平,11月前
淌水之后皮肤红肿是怎么了？#暴雨 #皮肤 #健康科普 #丹毒 ,https://www.douyin.com/video/6989219788769742087,100,00:49,https://www.douyin.com/user/MS4wLjABAAAANGOBt6WNOVZgfjMx6VXX6LHov-kGt_BxGxGVGIOdAqc,DrX,4月前
#肛瘘不做手术可以自愈吗？视频里告诉你答案 #健康dou起来  @抖音小助手,https://www.douyin.com/video/6867341602533166340,2223,01:50,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,1年前
,https://www.douyin.com/video/6887526533901192448,54,00:33,https://www.douyin.com/user/MS4wLjABAAAAvEy9XNpzF0WqwAj6vTI5SrL5aBDbrkAzHfkf8zsqoQA,笔底超“声”,1年前
