标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
血压多高算是正常#高血压 ,https://www.douyin.com/video/7047086188255005987,3.4w,01:35,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1周前
高血压的危害，为了你的家人请一定看到最后！#科普 ,https://www.douyin.com/video/6989154365806284040,1.3w,01:47,https://www.douyin.com/user/MS4wLjABAAAA37ApEUXS10o8k7-fXq_68EflCjqy-ArLBoA--TWrdVulo2AlIifcp31oz5FdoXLA,心内科苗阳,5月前
高血压能根治吗？做好这6点，不用根治，也能控制好血压。#血压 #高血压 #血压高 #高血压病 #高血压常用药,https://www.douyin.com/video/6959895733088587048,16.1w,06:12,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,8月前
高血压严重不严重并不只是血压高低还得结合这3点！#科普健康中国新媒体@太医管家 ,https://www.douyin.com/video/7026286630935727398,2.3w,02:05,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,2月前
血压低于140/90就是正常血压吗？NO!NO!NO!#科普健康中国新媒体 @太医管家 ,https://www.douyin.com/video/6978393864436469030,3.2w,00:59,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,6月前
血压高平时需要注意什么？#高血压 #健康 ,https://www.douyin.com/video/7017739566677265705,4.2w,03:37,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,2月前
#医学科普 这些知识值得告诉身边患有高血压的人#科普 #健康  @抖音小助手,https://www.douyin.com/video/6828151338661104908,11.4w,01:47,https://www.douyin.com/user/MS4wLjABAAAAyPjjwoHgnMQEctmmnlEKUR4NKqKVSNTVirrHPN49GmSww8cng8iAIiewm6999K4Y,泽桥科普,1年前
最新血压数值公布 正常的血压是多少  详细表格奉上#健康科普 ,https://www.douyin.com/video/7012531150224690462,4.5w,00:40,https://www.douyin.com/user/MS4wLjABAAAAPKeVmvOpI7Hz-ev2VW2pKBjWklfJKT072M5HPhvBpGnW-54kMahm3TFr6kkMbCJg,心血管华燕教授,3月前
2021年最新血压标准，一定对你有所帮助！#血压 #健康知识,https://www.douyin.com/video/7013560234589343006,16.2w,00:44,https://www.douyin.com/user/MS4wLjABAAAAcidAWIRr4S8-Zp9ciCViwv7p9IYrmyMIHHY9xQkMlUD500YbUccWweX6w3UOSE9e,心内科许国磊主任,3月前
血压多少才算正常？,https://www.douyin.com/video/6966150839614393631,1.1w,00:54,https://www.douyin.com/user/MS4wLjABAAAAPH6WuHVUP2sm_qCLxFIpC_omOkk-xYq7UNbH7L1IfDId7XuSjHeSbsVpxuSU2HwV,内科朱医生,7月前
#高血压 @抖音小助手 血压140/90需要治疗吗？,https://www.douyin.com/video/6839156130292206862,1.3w,01:18,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1年前
血压高了该怎么办？#医学科普 #高血压 #涨知识 ,https://www.douyin.com/video/7016573282417773837,2.7w,00:50,https://www.douyin.com/user/MS4wLjABAAAAz1lOStxwzCZF5cJ3h8Sa2FPQ_8_l_vQdpdKEm1oEF_k,薄世宁医生,3月前
如何正确，精准测量血压#高血压 ,https://www.douyin.com/video/7024312330561277218,17.7w,03:22,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,2月前
讲讲血压太高的危害#高血压 #血压 #健康,https://www.douyin.com/video/6934639489419611406,2.4w,01:46,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,10月前
高血压怎么办？要想血压稳，牢记七不要！ #高血压 ,https://www.douyin.com/video/7018441859856960771,6.8w,03:39,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,2月前
为什么会得高血压#高血压 @DOU+小助手,https://www.douyin.com/video/6980253449426390276,1.1w,01:14,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,6月前
#血压 #高血压 饮水与控制血压有什么关系？#降血压 ,https://www.douyin.com/video/7021810347329801509,8.0w,01:05,https://www.douyin.com/user/MS4wLjABAAAAkU-RGSsgEAE7fCZMERXkNtKiYfk3ubSo4yyk8V0aqQw,肾科王教授,2月前
你的血压是多少呢？#健康养生 #高血压 #健康养生,https://www.douyin.com/video/6941680277714390305,1.1w,00:58,https://www.douyin.com/user/MS4wLjABAAAAz-9S0p_1K6kvEQr9Oi9VNmf_I3ygD4HzCMA-5ycC7hg,肿瘤科王芳医生,9月前
这样吃可以降血压#高血压 ,https://www.douyin.com/video/7017677226128805155,1.8w,00:54,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,2月前
年纪轻轻血压就高了，除了吃药，还要注意这些～#高血压 #科普 #医学科普 ,https://www.douyin.com/video/7006984076791958820,2.4w,01:22,https://www.douyin.com/user/MS4wLjABAAAA3AcO302w1Hrq-STXhlx_43FiKpVwJ2E7oErmyhoEERsnxM3EaWFI1DQd9_lniTC3,心血管科专家方业明,3月前
你测的血压是准确的吗？血压要想测得准，牢记八不要 #高血压  #血压计  #健康 ,https://www.douyin.com/video/7032978740271385893,1.9w,03:36,https://www.douyin.com/user/MS4wLjABAAAAebrk8AJSBr-XKxpJPASQEgJ6IsMaT_aBOqWz7vE03tA,疼痛科张医生做科普,1月前
发生高血压的原因有很多 #医学科普  #心血管 ,https://www.douyin.com/video/6980661599338056997,1.2w,00:39,https://www.douyin.com/user/MS4wLjABAAAAZWfD_kJ-blOXkYapo6LXRyYVEgeOqk2m2qhnrTS9GmCqm6cskLIUSiIv8BDGhdUM,心血管王主任,6月前
早期发现高血压，可以通过调节生活方式恢复正常，你学会了吗？#知识创作人,https://www.douyin.com/video/6883312450184252672,1.5w,01:45,https://www.douyin.com/user/MS4wLjABAAAAF5YRxatWMv5tMglPcTvSyWliYURpbHeudZ6uXJdle1k,李瑛,1年前
血压多少血压吃降压药#高血压 @DOU+小助手,https://www.douyin.com/video/7019205921544867104,1.1w,00:55,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,2月前
血压150/90需不需要吃#高血压 ,https://www.douyin.com/video/7029560389834722601,9283,02:27,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1月前
请注意：高血压的标准是三个而不是一个#医学科普 #科普 #高血压 @DOU+小助手,https://www.douyin.com/video/7008841685526531332,1700,01:02,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
“血压的正常范围是多少？如何测量血压是正确的？”#高血压 #测血压 #健康科普 #医学科普 ,https://www.douyin.com/video/6977942434915568903,4215,01:05,https://www.douyin.com/user/MS4wLjABAAAAT0mAD-FiJZR-ALIUFcxoeBYlzSsKhNtCH01Luy-qBc-n62m75oHx-DprgUTtoEii,中医心血管科专家谢连娣,6月前
