标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
意外怀孕了还来得及补充叶酸吗？#孕产事问段涛,https://www.douyin.com/video/6881548188268924167,7884,01:55,https://www.douyin.com/user/MS4wLjABAAAAr45yTGk_Cd6IZwdUZhyeoIWE4NM5xMbUbUdW6VdykiU,段涛医生,1年前
他汀类降脂药：该什么时间服用？早晨还是晚上？#健康 #健康养生 #健康最重要 #健康科普 #健康dou起来 @抖音小助手 ,https://www.douyin.com/video/6992915431992462606,453,01:18,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,4月前
今天又有病人来我这里要求查血粘度  #动脉硬化 #dou出新知 #了不起的医生 #医学科普,https://www.douyin.com/video/6865230090440051975,1017,00:37,https://www.douyin.com/user/MS4wLjABAAAApFbbcjbNI4vVPQyV_KD4mf8AoTJW9cCNFRsZYHwC6_E,岳话越明白,1年前
网传防晒霜有毒，是真的吗？专家为你解答 #防晒  #volg日常  @抖音小助手 ,https://www.douyin.com/video/6703350978487258379,5348,02:05,https://www.douyin.com/user/MS4wLjABAAAAYcQ8O3eqErbTWNPQZaul4VLLwcg5GEoqn1ugll6R-Vo,CCTV生活圈,2年前
发生低血糖吃糖有用吗？@震洋健康 @中医谭医生 #健康科普 #涨知识 ,https://www.douyin.com/video/6992138246557846796,281,00:35,https://www.douyin.com/user/MS4wLjABAAAAxNEE0q0MNOe0KWOEX6ihm4yuiGys7d0PortGMo-aE4c3AyMVacCPhD01Xy1-7shH,谭熠博士,4月前
女子车站等人过度焦虑竟然引发了碱中毒！#冷知识 #知识创作人 #健康科普,https://www.douyin.com/video/6988812834457111849,933,01:02,https://www.douyin.com/user/MS4wLjABAAAALSsI6ExKHdv5sI3cDVY3DGHyd4YHLr2K2s3m2TaIQcU,大城小医,4月前
截至3月5日，已有919人捐献了294450毫升血浆~,https://www.douyin.com/video/6801022809658166543,4.0w,00:14,https://www.douyin.com/user/MS4wLjABAAAAC7r8UcpQchuQDP6MDlXoBVK3vrUHPDOy07dtII5uKeI,央视网快看,1年前
在中国，血液是如何捐献和使用的？怎样保证献血者和用血者的安全？#献血,https://www.douyin.com/video/6791336376647421192,424,05:14,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,1年前
一饿就心慌手抖是怎么回事？可能是它在作怪！,https://www.douyin.com/video/6867471800868031748,195,01:37,https://www.douyin.com/user/MS4wLjABAAAAhWVdFY_-kUUEAYcjrqT9v1bF050qHelQjL0XpcxOc1o,有来科普,2年前
#全民健康计划 @河豚健康 哺乳期服药，停药多长时间恢复哺乳？如何把药物对宝贝的影响降到最低呢？#范萍药师,https://www.douyin.com/video/6830415477341195528,631,00:58,https://www.douyin.com/user/MS4wLjABAAAABIihm6vrLQh-8_pCJDUKvONi_ZcAjcslY01G-k4-RsA,范萍药师,1年前
【中科院：#我国已有919康复者捐献血浆294450毫升】,https://www.douyin.com/video/6801013552137243919,895,00:49,https://www.douyin.com/user/MS4wLjABAAAAgR8CUVcbJPFvv_2qDKK2Qkw-lb3QtpQO9eXIhPpgcMM,北京日报,1年前
#全民健康计划 @河豚健康 第七天。小药师加油啦。科普你们的小药师是认真的。No7,https://www.douyin.com/video/6887904628562742528,152,00:36,https://www.douyin.com/user/MS4wLjABAAAAL5PKugA4sn9u593ek-y2z6-V_Rj5JNGTfKAQPTeq8CQ,我是小药师（Lyman）,1年前
#尿酸高怎么办 ？饮食需要注意哪些？@抖音小助手,https://www.douyin.com/video/6865999926258666760,362,00:38,https://www.douyin.com/user/MS4wLjABAAAA3pN_rGzk3IsM75rt9XEn0etL55MTzNmu5ZXr0CJv4s4,消化科郭医生,1年前
低蛋白血症的诊断标准#抖音小助手 #全民健康计 @河豚健康,https://www.douyin.com/video/6924618754487897355,63,00:19,https://www.douyin.com/user/MS4wLjABAAAA925xfVizjA9Hv6s6D8NLJHoDkyukJO1bKuV-xItJpsE,小药师夏夏,10月前
为什么要减肥呢？  @震洋健康  #健康  #健康养生,https://www.douyin.com/video/6917209313362578701,20,00:38,https://www.douyin.com/user/MS4wLjABAAAAvCx4jLS3YTFDWwFcpZokLdcHxoXUgTa_jEvKHFtEbJ4NqI15j6OPD9ZC2bv0AXET,普外科陈伟医生,11月前
#全民健康计划 @河豚健康开始备孕的姐妹们， 叶酸要提前三个月开始吃，你知道吗？,https://www.douyin.com/video/6901497124463086855,33,01:06,https://www.douyin.com/user/MS4wLjABAAAAzYJmN3rpzMjo_yUSSnwpyo5iQkzibzxkud7KKYX9Uok,晚风吻尽荷花叶Wayne,1年前
开展舒适化口腔必备利器之6#看牙 #医学科普 #补牙 #牙齿健康 @抖音小助手,https://www.douyin.com/video/6860811956820004104,22,00:46,https://www.douyin.com/user/MS4wLjABAAAAA565wlwpafAZbzd66op99fhmWfDlgEHQ0MJ89BFCEeE,专注舒适化口腔的麻醉医生祝祎,1年前
#视频大赛  糖尿病的人会低血糖？,https://www.douyin.com/video/6829581448304004355,13,03:15,https://www.douyin.com/user/MS4wLjABAAAAa34DLqerlr-pn-3itneOM10VRpRmaTuIZtVC90k5Bto,苏州科技城医院,1年前
钟南山院士指导研发快速检测试剂盒 采一滴血15分钟内可出结果，且血浆稀释500至1000倍后，仍能检测出阳性,https://www.douyin.com/video/6793488862929833230,3376,00:13,https://www.douyin.com/user/MS4wLjABAAAAWWDKr-TwKhM6Cb02cd6PpkE0xZEl4Haua2dVZrLb1Vg,农民日报,1年前
#健康心动 遇事莫伤心，以免出危险,https://www.douyin.com/video/6867758887467076878,2,01:00,https://www.douyin.com/user/MS4wLjABAAAA9rFlIQ42Kn4fFqo7jVsYOR-E21OBX9mxf5i122PJLxjWOIECooWsrcpM-t50aBXH,SMA掌健识,1年前
“如果有用我们肯定愿意！”武汉19名新冠肺炎康复医护人员捐血浆救治重症患者！致敬！#最美医护者,https://www.douyin.com/video/6793900626616077582,69.0w,00:07,https://www.douyin.com/user/MS4wLjABAAAAGWFEyl_NuLBGlV43HPIjpq__gw2xt7FzeoxJk_P5kVc,中国青年报,1年前
糖尿病前期可能并没有典型的“三多一少”症状。血糖达到什么范围才算#糖尿病 ？,https://www.douyin.com/video/6919404209200696579,25,02:35,https://www.douyin.com/user/MS4wLjABAAAAU0KImtEhfZJmDpssbYM5E4Fk0pTkypcl8zOvFJr4riM,首都医科大学附属北京康复医院,10月前
关于血液你知道多少，这些个知识点，你必须知道,https://www.douyin.com/video/6863444580096904461,7,01:08,https://www.douyin.com/user/MS4wLjABAAAAwgcA8NnI8Z2oJXDTCQRYPHKAmSyg4gPvGxJ-o9UT3Ne6znK14gX4k46DKiPJSgMN,杨尚达医生,1年前
#协和韩冰医生 献血和献血浆有何区别？#医学科普 #血液病,https://www.douyin.com/video/7004244248769940766,154,00:45,https://www.douyin.com/user/MS4wLjABAAAAbTAzoeV9NokZOH_3df7v-76JfhPgQvRg8qlD1ArQ7rI,协和血液科韩冰医生,3月前
几万毫升血浆24小时之内从武汉调往黑龙江救人，邱海波：要感谢湖北武汉新冠的康复病人！大爱！,https://www.douyin.com/video/6838425300200705294,12.7w,00:32,https://www.douyin.com/user/MS4wLjABAAAAgq8cb7cn9ByhZbmx-XQDdRTvFzmJeBBXOUO4QflP96M,央视新闻,1年前
邱海波：武汉2600毫升恢复期血浆救活舒兰85岁重症老奶奶,https://www.douyin.com/video/6951986042845089027,6,02:02,https://www.douyin.com/user/MS4wLjABAAAADxxSM17aDo5GBB7mt6bHbOS2jzQpBxevn8Lh2rMkY8g,小央视频,1年前
在不#穿刺 的情况如何判断出是哪类#肾病 #健康dou起来,https://www.douyin.com/video/6977239064126737696,1005,00:30,https://www.douyin.com/user/MS4wLjABAAAAYnBm5zUV2FflSz7gKeAZVM8P_We6GGbaxBZ7zuJe31g5Vz2QrcBRo9lvLrCA9PEf,肾病大夫林秀彬,5月前
好消息！新冠病毒快速检测试剂盒问世，检测将更高效！为科研人员点赞！#坚信爱会赢 #疫情全知道 #武汉加油,https://www.douyin.com/video/6793518230485994763,1.5w,00:09,https://www.douyin.com/user/MS4wLjABAAAA_w1jcNvWS8o1FJDoNCIbaiaEXb4ePppdjfP4uNnkwRc,经济日报视点,1年前
今天，江苏6700毫升新冠肺炎康复者恢复期血浆援助湖北！@抖音小助手,https://www.douyin.com/video/6806566983337856269,167,00:23,https://www.douyin.com/user/MS4wLjABAAAARq3NumHzuZVg9ZjJKiOrlfG6tsXSsjF3d-Wx-Px5UJ4,标点健康,1年前
国家卫健委: 分别调集3万毫升血浆，支持辽宁河北重症救治。,https://www.douyin.com/video/6917155752117325063,9.2w,00:17,https://www.douyin.com/user/MS4wLjABAAAAgq8cb7cn9ByhZbmx-XQDdRTvFzmJeBBXOUO4QflP96M,央视新闻,11月前
富血小板血浆#PRP,https://www.douyin.com/video/6937588044295884047,391,00:39,https://www.douyin.com/user/MS4wLjABAAAAJughKen5ddC2aQ-RFEjp0NTx9GRys5_109HGgQFoV7I,关节医生郑鹏,9月前
钟南山院士指导研发出快速检测试剂盒，一滴血，就可在15分钟内检测出结果！,https://www.douyin.com/video/6793568899385412878,2267,00:16,https://www.douyin.com/user/MS4wLjABAAAAVyNkRXTaoSpq4n3TgoQpAX-VnuSfAazbD8UaBHg7RWo,中国新闻周刊,1年前
7岁儿童误食毒蘑菇等血救命，山东多地好心人连夜驰援献血救急。,https://www.douyin.com/video/6869670562742930701,1.4w,00:20,https://www.douyin.com/user/MS4wLjABAAAAzrJG9tUZvTE62g9c5nQuszeNzd6AaJXG27pAQyobVyE,中国之声,1年前
我院开展富血小板血浆（PRP）治疗术，膝关节炎、软骨软化、半月板损伤“救星”#软骨磨损 #关节炎 @抖音小助手,https://www.douyin.com/video/6916110541714918671,446,00:35,https://www.douyin.com/user/MS4wLjABAAAAKOkA-lNAGUxcUKY_gcWBEDTzvlGO2eZbJk1t3WM017M,北京中医药大学房山医院,11月前
一个可怜的肾脏病人#这个视频有点料 #健康 #科普 @抖音小助手,https://www.douyin.com/video/6844104681447345419,1449,01:00,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
#辟谣 确实很多人误会了，为了一句不靠谱的话，而浪费了#浪漫美好 时光的。#中医科普 #冷知识 ,https://www.douyin.com/video/7028016420046900488,1.4w,00:05,https://www.douyin.com/user/MS4wLjABAAAApKwJ1k4n1trU2-e42PlepP30IAxGJPEOsQVCDTX2NUA,妇科博士梁惠珍,1月前
无私奉献！金银潭医院张定宇院长妻子捐献400ML血浆,https://www.douyin.com/video/6794707582192766220,2.9w,00:11,https://www.douyin.com/user/MS4wLjABAAAACmUNK8yr2VV3JyWj5_zVxjC0llSWAcYSjtOV0EdyQxs,环球网,1年前
什么是血液@震洋健康 #医学科普 ,https://www.douyin.com/video/7005733416599670046,6,00:35,https://www.douyin.com/user/MS4wLjABAAAAwgcA8NnI8Z2oJXDTCQRYPHKAmSyg4gPvGxJ-o9UT3Ne6znK14gX4k46DKiPJSgMN,杨尚达医生,3月前
xue液粘稠就一定是高血脂吗？#科普 #健康,https://www.douyin.com/video/6942767021234900260,189,00:30,https://www.douyin.com/user/MS4wLjABAAAAbLAmHxNBZwDR41w7mKlfW4r99S0jM1jrInLYOQz8Gbj1w76oxXzT8RunO6fZFpC8,心血管陈涛医生,8月前
驻赣部队官兵为湖北省无偿献血37.71万毫升,https://www.douyin.com/video/6793601929957100807,7.4w,00:09,https://www.douyin.com/user/MS4wLjABAAAABArNlqBaian-2-0WxxJr4G9rVedUTTovoSqEm3mK_Nw,中国军视网,1年前
大量蛋白尿，做这个检查不用肾穿就能确诊#医学科普 #健康 #肾脏病 @DOU+小助手,https://www.douyin.com/video/6999947748367764768,1508,00:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,3月前
维生素D只能促进钙吸收吗？专家解答：维生素D2注射液功效多,https://www.douyin.com/video/6967276069208493325,74,01:39,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
明天是医师节，聊点轻松的吧，关于无偿献血这个事儿——陈医生的内心独白#医者仁心敬佑生命 #致敬中国医师 ,https://www.douyin.com/video/6997703025519332638,628,00:33,https://www.douyin.com/user/MS4wLjABAAAAw257HayU1jFpGeVi2q03JbVU_Ly035tsZj5jYccoCtvrhwcTPD3cu0EqZg7aE7ea,宣武医院神经外科,3月前
T179次列车侧翻，军地联合展开救援！武警郴州支队官兵紧急献血24000毫升！,https://www.douyin.com/video/6810274318031916295,9.6w,00:11,https://www.douyin.com/user/MS4wLjABAAAAGWFEyl_NuLBGlV43HPIjpq__gw2xt7FzeoxJk_P5kVc,中国青年报,1年前
小心！马蜂蛰伤可致命！有人被蜇后，致多器官衰竭！置换3万毫升血浆后终获救…,https://www.douyin.com/video/6752770181174398220,5211,01:31,https://www.douyin.com/user/MS4wLjABAAAAt6AsGhjrHeoxZNkceYg2J0FWvrWKzEaTAvF44-sPYco,央视财经,2年前
血浆蛋白是什么 @震洋健康  @中医谭医生,https://www.douyin.com/video/6848585725068299534,361,01:00,https://www.douyin.com/user/MS4wLjABAAAAwgcA8NnI8Z2oJXDTCQRYPHKAmSyg4gPvGxJ-o9UT3Ne6znK14gX4k46DKiPJSgMN,杨尚达医生,1年前
世界艾滋病日特别节目——艾滋病和肿瘤那些事儿……,https://www.douyin.com/video/7036203554796817672,7,01:21:38,https://www.douyin.com/user/MS4wLjABAAAAnfSDSZwn1wGt7Jnl0RUnwyWqyc_hUs2qAVFKS2Jm0mU,重庆大学附属肿瘤医院,1周前
