标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
#糖尿病 患者#血糖 控制不稳定，会引起哪些并发症#医学科普 ,https://www.douyin.com/video/7002398428391017741,4930,00:43,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
#四川 #健康科普 ,https://www.douyin.com/video/7051009772795022599,339,01:08,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,6天前
#糖尿病 #健康科普仅供参考 ,https://www.douyin.com/video/7025853811537284383,5515,00:57,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
糖尿病患者血糖控制不好，需要怎么办#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/7018486192731671844,425,00:48,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,3月前
#血糖控制不好，会出现这些症状#健康科普 #四川 ,https://www.douyin.com/video/7028770500453174541,1851,01:35,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
血糖控制不好容易出现哪些并发Z呢？#涨知识 #健康科普 @震洋健康 @中医李山山医生 ,https://www.douyin.com/video/7009182661029727501,78,00:44,https://www.douyin.com/user/MS4wLjABAAAArWi_6u4q1mrx7nU_9z_PGOIkYspZFdc8kCxarF03Vj4,中医谢永亮医生,3月前
血糖控制不好，可能会造成肾脏的排毒能力下降。#糖尿病 #健康科普 ,https://www.douyin.com/video/7036916745168227597,3997,00:48,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病餐后血糖控制不好，对身体有5大危害！#医学科普 #健康科普 #糖尿病科普 @抖音小助手 ,https://www.douyin.com/video/7034067938835582216,1744,01:28,https://www.douyin.com/user/MS4wLjABAAAAlIoKCdFUqqq-qFZ-_1i31A2qfNQqtMqzu8fK1uPBjMI,心血管内科王占胜,1月前
糖尿病患者血糖控制不好对身体有哪些危害？#健康中国科普#健康大咖来了@北京大学第一医院内分泌内科主任医师郭晓蕙,https://www.douyin.com/video/6955774744213884173,2752,01:53,https://www.douyin.com/user/MS4wLjABAAAAAdC548JiARqnjAJ0ZXajmlaEXoS8z-DRzMUUD0kkQ4U,健康中国,8月前
#糖尿病 患者#血糖 控制不稳定，主任担心引起并发症#我的门诊故事 ,https://www.douyin.com/video/7003911630086032654,7815,00:46,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
得了糖尿病，血糖控制不好的话会出现哪些“并发症”或伴随症?,https://www.douyin.com/video/7009472346536856868,78,01:01,https://www.douyin.com/user/MS4wLjABAAAArWi_6u4q1mrx7nU_9z_PGOIkYspZFdc8kCxarF03Vj4,中医谢永亮医生,3月前
查出#糖尿病 10年，血糖控制不好，现在造成了肾衰竭。,https://www.douyin.com/video/7034798673850649892,4262,01:06,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
病程长的糖尿病患者血糖控制不好可以导致体重减轻，要及时应用胰岛素治疗，停用导致体重减轻的药物，还要警惕结核，甲亢和肿瘤 #糖尿病科普 #体重减轻 ,https://www.douyin.com/video/7004052021066173704,98,03:40,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,4月前
40岁小伙因糖尿病血糖控制不好，导致心脏血管病变上了手术台。 #糖尿病  #高血糖  #涨知识  #控制血糖 ,https://www.douyin.com/video/6981718669265063199,3.7w,02:16,https://www.douyin.com/user/MS4wLjABAAAAMqsBIZGfVFDWYE-Ll7MB7Dluw-2NczQA_aChqPye0qbcMgyGbHjpyBtGL55tGJ-k,心中有术,6月前
血糖控制的不好，可以住院吗？#糖尿病 #血糖,https://www.douyin.com/video/6980576238893026567,289,00:54,https://www.douyin.com/user/MS4wLjABAAAAiCLlJaIyM0wiU4c4mLD2Yx6d5DmAM1z_cOTQ6aogpMatzupUQTqtn12PCNZISvu3,群聊卒中,6月前
#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7018364687536377101,1.4w,01:27,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
九年#糖尿病 长期血糖控制不好，引起了心脏动脉硬化#中医 #健康 ,https://www.douyin.com/video/7015849426686102821,1473,00:33,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3月前
#糖尿病 #健康 ,https://www.douyin.com/video/7011818097401269511,3974,00:14,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
#清风计划 #糖尿病血糖控制不好，也许是这些原因在作怪@头条健康,https://www.douyin.com/video/6755475707721239815,2294,01:57,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,2年前
12年#糖尿病 患者，控制血糖控制的很差#健康 #中医 ,https://www.douyin.com/video/7007730408645233951,1600,00:26,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,4月前
血糖降下来胰岛功能还能恢复吗？#健康 ,https://www.douyin.com/video/6976874908567555342,1690,00:42,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,6月前
长期控制不好血糖可能引起微循环病变。#健康科普 #涨知识 ,https://www.douyin.com/video/7026653129500314916,4576,00:29,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2月前
吃降糖药，打胰岛素，血糖还控制不好的原因可能是这些,https://www.douyin.com/video/6825876691966102788,1524,01:30,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
血糖控制不好，对眼睛的影响很大，严重可能导致视网膜脱落。#糖尿病 #健康科普 ,https://www.douyin.com/video/7049890939443121444,609,00:20,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1周前
糖尿病10年，知道糖血糖控制不好的危害，却糕点不断、水果随便#糖尿病 #高血糖 ,https://www.douyin.com/video/7023190198624324878,2540,04:03,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,2月前
很多糖尿病患者说，医生，为什么我的血糖控制的不好？#血糖 #糖尿病,https://www.douyin.com/video/6979410946791951653,544,01:41,https://www.douyin.com/user/MS4wLjABAAAAiCLlJaIyM0wiU4c4mLD2Yx6d5DmAM1z_cOTQ6aogpMatzupUQTqtn12PCNZISvu3,群聊卒中,6月前
血糖总是控制不好，可能会促进向尿毒症的方向发展。#糖尿病 #健康科普 ,https://www.douyin.com/video/7032203297645726983,3051,00:27,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
血糖控制不好，糖化超过七可能出现并发症。#糖尿病 #健康科普 ,https://www.douyin.com/video/7049678877869837576,1039,00:08,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1周前
#糖尿病并发症 #医学科普 ,https://www.douyin.com/video/7006597820463467789,1.6w,00:19,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
引起血糖波动的常见原因#科普,https://www.douyin.com/video/7004744547842542856,861,00:21,https://www.douyin.com/user/MS4wLjABAAAAN1ZddRMXpI5YGvJUEorvGzdQP9cPHV9oMoEcFAmIkHs,内分泌吴医生,4月前
血糖控制不好，原来直接影响这些#医学科普 #健康 #科普一下 ,https://www.douyin.com/video/7007352718956203278,175,00:18,https://www.douyin.com/user/MS4wLjABAAAA3AcO302w1Hrq-STXhlx_43FiKpVwJ2E7oErmyhoEERsnxM3EaWFI1DQd9_lniTC3,心血管科专家方业明,4月前
#糖尿病患者#血糖 控制的不理想，体重下降怎么办#健康科普 #医学科普 ,https://www.douyin.com/video/6996572661509836046,1498,00:57,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,4月前
早期发现，积极控制，3个月血糖恢复正常。#中医 #糖尿病 #高血糖,https://www.douyin.com/video/6932367441574022414,1791,00:28,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
胰岛功能差还能恢复吗#糖尿病 #胰岛功能 ,https://www.douyin.com/video/7033640194976828709,516,00:29,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,1月前
#糖尿病并发症 是怎么发生的,https://www.douyin.com/video/7009574922091597093,3.4w,00:30,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,3月前
为什么体重下降，血糖依然控制得不好。#糖尿病 #减重代谢手术,https://www.douyin.com/video/6996867592250035486,326,00:35,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,4月前
提醒大家：空腹血糖受损和糖耐量异常，也称糖尿病前期！虽然还不算糖尿病，但如果不干预，很容易发展成为#糖尿病 #健康 #科普 ,https://www.douyin.com/video/7012544913271278856,8312,00:06,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
为什么x糖控制的很好还是会得并发症？#医学科普 @抖音健康,https://www.douyin.com/video/6935381112516562206,493,00:41,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,10月前
血糖控不好，原因都在这了#糖尿病 #高血糖 #健康真相官,https://www.douyin.com/video/6911218519975726350,2463,00:41,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
#糖尿病 不可怕，但可能会引起可怕的并发症，控制好血糖很关键。,https://www.douyin.com/video/6974704390871485708,5069,00:47,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,6月前
血糖控制不住，管不住嘴，有并发症可以手术吗？#减重手术 #糖尿病 #健康 ,https://www.douyin.com/video/7005418836954500359,1057,01:05,https://www.douyin.com/user/MS4wLjABAAAAMTXOGc102peTFUZ9SH7jDbWDAtvCjNjEW0sQOAp2VfowJkIFVx4dqvBKpJHxy-i_,张能维医生,4月前
糖尿病不可怕，可怕的是并发症#糖尿病 #健康 ,https://www.douyin.com/video/7011056836954606878,4483,00:06,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
糖尿病人做到三点，可避免并发症#这个视频有点料 #健康 #科普,https://www.douyin.com/video/6825847902645128451,2915,01:17,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
患上#糖尿病 20多年，一直没控制好血糖，现在出现了一系列问题.#健康科普 ,https://www.douyin.com/video/7035596620725062952,2023,00:36,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,1月前
糖尿病可以逆转吗？你有逆转的可能吗？（1） #糖尿病,https://www.douyin.com/video/6972096016204025125,8377,00:56,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,7月前
学好这三招，日常自我保护胰岛功能。 #糖尿病  #胰岛素,https://www.douyin.com/video/6831034925571902724,3322,01:12,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
血糖控制好，还会得并发症吗#高血糖 #健康 #医学科普 #王世东 #糖尿病  ,https://www.douyin.com/video/6994677626656902413,1028,00:34,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,5月前
糖尿病如果控制不好 会导致很多疾病 糖尿病患者一定要知道 #dou出新知  #我为医者  #糖尿病,https://www.douyin.com/video/6847802896906472704,3294,00:42,https://www.douyin.com/user/MS4wLjABAAAAH6FcliiSDZtgPmkfeopJU2kasMk64g0ct6ztjI84d7I,肾病科王暴魁教授,1年前
血糖总是居高不下，会加快你的胰岛功能衰减的速度，加重病情。#糖尿病 #健康科普 ,https://www.douyin.com/video/7046640902390959374,5628,01:07,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,2周前
血糖怎么都控制不好，焦虑到直接放弃测量…术后如何？#糖尿病 #减重手术,https://www.douyin.com/video/6926455302720195851,5768,00:38,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,11月前
小伙血糖控制不重视，年纪轻轻的已有 #糖尿病 神经病变的前兆，关键还是在于控制血糖，大家要引起重视！#医学科普 ,https://www.douyin.com/video/7009566597358570765,5108,00:24,https://www.douyin.com/user/MS4wLjABAAAAjG5iqlHrg-6ttwiYjOUUSoBKG6UlCjoLi4ZY8s0t4XK5V4Z4WxBNmajqFH7KLkQh,内分泌专家李爱国,3月前
血糖一直控制的不好，原来是喝水的问题，还有很多控制血糖的小妙招，关注我，关注健康，每日知识分享，感谢关注！,https://www.douyin.com/video/6871944638240984324,31,00:27,https://www.douyin.com/user/MS4wLjABAAAAsm8SNDUuUxceCNl7hRRj2kLg-a9VeDmGbYDQx83NZofXs_e-N4ij2VfXM-JXeSz8,内分泌医生成志锋,1年前
术前大剂量胰岛素仍控制不佳的血糖，术后第一天开始迅速下降#医学科普 #糖尿病手术,https://www.douyin.com/video/6996612166065376523,54,00:28,https://www.douyin.com/user/MS4wLjABAAAAe0QobdTCbDnCnQn3jSOxQZHk_HkTw4yOGdWArfSvqTo,减重降糖专家丁印鲁医生,4月前
