标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
#血常规 怎么看？教你一分钟看懂3个核心指标（二）血红蛋白#医学科普 ,https://www.douyin.com/video/7007742675071847687,477,00:58,https://www.douyin.com/user/MS4wLjABAAAAtnkLUjGDv8btucjtw5P8Z7VjQw2lswyVODFxRPUzJQDgdYjB91yfLfFLSkTHqwQp,血液免疫韦云教授,2月前
血红蛋白高是怎么回事？#健康科普 #化验单,https://www.douyin.com/video/7034428734665018663,127,00:26,https://www.douyin.com/user/MS4wLjABAAAAI-LlwToGkB4iBhqBx-BReaOZ65VrVUCQNCbmngxec3Y-FEzWUgiw1E38-yALXHRu,许亚梅,2周前
#协和韩冰医生 血红蛋白升高严重吗？#血液病 #健康科普 #医学科普,https://www.douyin.com/video/7001418179717106952,261,00:46,https://www.douyin.com/user/MS4wLjABAAAAbTAzoeV9NokZOH_3df7v-76JfhPgQvRg8qlD1ArQ7rI,协和血液科韩冰医生,3月前
#健康 #养生 #中医 #科普 #血常规,https://www.douyin.com/video/6909030031633157376,3995,00:52,https://www.douyin.com/user/MS4wLjABAAAA2gv8q4DFMgPSwk7HxtpYHDLNOIdS50h7buE1ZbQBkAM,肿瘤医生李佳殷,11月前
#协和韩冰医生 体检发现血红蛋白升高怎么回事？#医学科普 #血液病 ,https://www.douyin.com/video/7012150677698907400,251,00:47,https://www.douyin.com/user/MS4wLjABAAAAbTAzoeV9NokZOH_3df7v-76JfhPgQvRg8qlD1ArQ7rI,协和血液科韩冰医生,2月前
血红蛋白高，是什么原因？会有什么症状吗？#健康 #健康科普 #医学科普 ,https://www.douyin.com/video/7033712555092659469,92,00:36,https://www.douyin.com/user/MS4wLjABAAAA-T8Gent_lxvzNGpBC4t40eKRrYL5Ucz8a1FQ5bNcrmSAX0BW3cSMDtbXCE1fhfa5,血液科刘风主任,2周前
#协和韩冰医生 贫血血红蛋白低于多少要输血治疗？#医学科普 #血液病 #贫血,https://www.douyin.com/video/6971344384004558087,607,00:51,https://www.douyin.com/user/MS4wLjABAAAAbTAzoeV9NokZOH_3df7v-76JfhPgQvRg8qlD1ArQ7rI,协和血液科韩冰医生,6月前
什么是糖化血红蛋白  #涨知识  #糖化血红蛋白,https://www.douyin.com/video/6931236308115328264,6933,00:37,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,9月前
#协和韩冰医生 查出血红蛋白高通过献血能降低吗？#血红蛋白 #献血 @抖音小助手,https://www.douyin.com/video/7038417577550335263,162,00:51,https://www.douyin.com/user/MS4wLjABAAAAbTAzoeV9NokZOH_3df7v-76JfhPgQvRg8qlD1ArQ7rI,协和血液科韩冰医生,1周前
#血红蛋白 是不是越高越好？#医学科普,https://www.douyin.com/video/6946458753181027616,106,00:18,https://www.douyin.com/user/MS4wLjABAAAAW_7yvZ78Xd1Ko7MsxPG-TnnKgCzrfwV103wsjweVTUHC2hjR3oA2-hWaPPIjPDP-,血液病专家王洪志,8月前
#医学科普 ,https://www.douyin.com/video/7025554767275445541,5027,01:22,https://www.douyin.com/user/MS4wLjABAAAAtnkLUjGDv8btucjtw5P8Z7VjQw2lswyVODFxRPUzJQDgdYjB91yfLfFLSkTHqwQp,血液免疫韦云教授,1月前
血红蛋白高，可能是这3种原因#医学科普 #血液科 #抖医医生 ,https://www.douyin.com/video/7034769803122461959,70,00:46,https://www.douyin.com/user/MS4wLjABAAAA-T8Gent_lxvzNGpBC4t40eKRrYL5Ucz8a1FQ5bNcrmSAX0BW3cSMDtbXCE1fhfa5,血液科刘风主任,2周前
教您如何查看化验指标#涨知识,https://www.douyin.com/video/6970534624627838215,79,01:01,https://www.douyin.com/user/MS4wLjABAAAAAcIFpaUKBBJF-zBaHXicvc7DFkGUhTifcepZSJ778VA,神内周医生,6月前
血红蛋白太高怎么办？ # #肾病  #医生  #健康科普 ,https://www.douyin.com/video/6979152850752507143,259,00:35,https://www.douyin.com/user/MS4wLjABAAAAHvTGecFA363Lsr1x3Nra3OyihIB4r9tdln7jZQStdyUw9wc271mGW25Me8ULy4zs,高建东主任,5月前
儿童血红蛋白正常值是多#涨知识 #健康科普 @中医谭医生 @震洋健康 ,https://www.douyin.com/video/7030782962832559367,40,01:00,https://www.douyin.com/user/MS4wLjABAAAAAZ6Ay9rD1MqpueFIKuSnC-oZnuwcZSKcckTyq9xf2kg,新生儿科任娜芳医生,4周前
血红蛋白有什么作用？#健康科普 #医学科普 #血红蛋白 #血小板 ,https://www.douyin.com/video/7038475493301062920,216,00:06,https://www.douyin.com/user/MS4wLjABAAAAnAVL0udKbQ0rfkS5SqFBfvdEBy6EoTqoXyaFAjPxpWRfGapMqNwVamvdKfvmIpKB,血液肿瘤张明辉医生,1周前
红色的血液能告诉你什么？#血液 #医学科普@抖音小助手,https://www.douyin.com/video/6837742704655437064,1215,00:59,https://www.douyin.com/user/MS4wLjABAAAAblHDQVv7xTIQG1CjWW3eyPYbunlyLj6G15ry0bJrK9uU5YQKnm3trymJazeTvj6L,木愚医生,1年前
儿童血红蛋白正常值是多少 @震洋健康  @中医谭医生 #科普,https://www.douyin.com/video/6942393913734925605,63,01:03,https://www.douyin.com/user/MS4wLjABAAAAAZ6Ay9rD1MqpueFIKuSnC-oZnuwcZSKcckTyq9xf2kg,新生儿科任娜芳医生,8月前
#血红蛋白 #血常规 #医学科普 ,https://www.douyin.com/video/7039583527494601992,164,00:52,https://www.douyin.com/user/MS4wLjABAAAAtnkLUjGDv8btucjtw5P8Z7VjQw2lswyVODFxRPUzJQDgdYjB91yfLfFLSkTHqwQp,血液免疫韦云教授,4天前
血红蛋白减少，有可能会出现以下症状,https://www.douyin.com/video/7013281191428214019,254,00:22,https://www.douyin.com/user/MS4wLjABAAAAPCcrK28i8ANSNTOdqytgNPmtgWr9MhGwIb01Cb9Yj6g,血液科孙岸弢大夫,2月前
什么是糖化血红蛋白#糖尿病 #健康真相官 #糖尿病科普,https://www.douyin.com/video/6912735502378503431,1841,00:24,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,11月前
