标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
糖尿病足患者出现溃疡应该怎么办呢#医学科普  #糖尿病  #健康dou起来  @抖音小助手  @DOU+小助手,https://www.douyin.com/video/6964286743310863646,57,00:36,https://www.douyin.com/user/MS4wLjABAAAAZEj2oIn0Wj3toB2W-7U7UrJtbqTCXDagqNGzSKkoq08,中医内分泌专家杨波医生,7月前
湿疹感染导致的脚部溃烂，在日常洗脚的时候也是有讲究的#健康科普 #皮肤管理 ,https://www.douyin.com/video/7052183232401427719,125,00:15,https://www.douyin.com/user/MS4wLjABAAAAkY59f4gwar_Ypyzy1AvOZ0hOuMc_03NpUhEoESVYePoT0SdVSIzG-dYnf5Rnlp6B,李楠教授,2天前
#糖尿病足 #六院骨科 #老烂腿 #糖尿病足预防,https://www.douyin.com/video/6943479515423296783,159,01:23,https://www.douyin.com/user/MS4wLjABAAAArFazR-Gxk4dCAUMhTFD7mh5G4PXxZb_McvBJmo6jAv8,六院骨科陈华,9月前
糖尿病足溃烂，如不及时治疗，可能会截肢甚至威胁生命,https://www.douyin.com/video/6967282499080703240,61,01:31,https://www.douyin.com/user/MS4wLjABAAAAau0ZwINgBOBhiQkH2-b9NnKtRU3xTpDRAfPBWMunVHk,尚医健康,2年前
糖尿病15年，因洗脚未注意水温，被烫，导致足部溃烂！#医学科普 ,https://www.douyin.com/video/6995709825950797063,80,00:56,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,5月前
65岁的老母亲#糖尿病足 多年，脚跟溃烂不愈合，家人心急如焚。同为儿女，只想帮一把，让家人安心。,https://www.douyin.com/video/6945385099424812288,355,00:12,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,9月前
很多人以为#糖足 治疗就是看脚，但其实最关键的还是改善血运问题，只有血运好了，伤口才能更好的愈合！,https://www.douyin.com/video/6954952738081901864,332,00:18,https://www.douyin.com/user/MS4wLjABAAAAcAWkCgSZG0sG87RAKE6Lfmx6Ein4mk5ITLxlRNQPSzs,朝阳足踝赵会,8月前
#创作灵感 别嫌我啰嗦，我必须反复强调糖尿病人群足部发生溃烂，一定要到医院看诊，很多人因贻误时间导致截趾#健康,https://www.douyin.com/video/6993175736605527332,77,00:09,https://www.douyin.com/user/MS4wLjABAAAAKrS6jYdczE2BcEVWn4BTNqipGSdXUkrUACtGFmsHH7c,王江宁医生,5月前
#宽仁辟谣 糖尿病患者出现糖尿病足就得截肢吗？,https://www.douyin.com/video/6870410849157123335,779,00:59,https://www.douyin.com/user/MS4wLjABAAAAZ_LwYeHnfHc7Fjjl5nQaGoEILyRwEzwkOmP5A9JII44,重庆医科大学附属第二医院,1年前
脚趾缝瘙痒溃烂，皮肤浸渍发白，还有难闻的酸臭味，怎么处理？#糜烂型脚气 #脚气 #医学科普 #健康科普 #科普 ,https://www.douyin.com/video/6995801173672398088,2.1w,00:16,https://www.douyin.com/user/MS4wLjABAAAAnsCUoJGKwr1lq2jjkjvoNhySR26FAIlSxVYMacH_n_LqJCtxcJFsylG2veQvksyH,皮肤科教授张堂德,5月前
