标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
经常有网友问，吃了3种不同类型的口服#降糖，#空腹血糖仍然不达标。李医生从#胰岛素给糖友们分享@抖音小助手  ,https://www.douyin.com/video/6991731762149723429,1468,00:50,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,5月前
#糖尿病 #胰岛素 注射胰岛素需要注意什么,https://www.douyin.com/video/7007349931279273231,756,00:58,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,4月前
胰岛素应该饭前打还是饭后打？#糖尿病 #医学科普 #中医 ,https://www.douyin.com/video/6987311353736219937,43,00:43,https://www.douyin.com/user/MS4wLjABAAAAP1-V4x9_XnrT5eAE1nqtQxXeV2FqrGXXO6ex44LN_jo,揭博士慢病预防,5月前
胰岛素的分类 #糖尿病,https://www.douyin.com/video/6839499328311053576,107,01:50,https://www.douyin.com/user/MS4wLjABAAAAXysMFOQ9XJJzCFpw5QlpYVs4azhTptUSlLKm_sy9Dso,周口市中医院,1年前
长效胰岛素注射到肌肉导致低血糖#糖尿病科普 ,https://www.douyin.com/video/7050292331420978469,257,04:03,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,1周前
小杨药师,https://www.douyin.com/video/6833651388438826240,16,00:46,https://www.douyin.com/user/MS4wLjABAAAA9l7LL32cOegzCSoYdes3aB6wo8qRPEQgVfr2awPqzMY,小杨药师,1年前
#胰岛素 忘打了能补打吗？,https://www.douyin.com/video/6945313334661057833,786,00:37,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,9月前
6种天然胰岛素，吃对了帮你轻松降糖 #中医  #健康   #糖尿病  #科普   #降糖,https://www.douyin.com/video/6894522217741176072,2.4w,00:29,https://www.douyin.com/user/MS4wLjABAAAAucYP6OJSq3uOEVRSJaPfckljK3jxuCT-urQ_GTJ1IEmwd_mGhalFdv4Txxzu04G8,中医董博士,1年前
不小心漏服降糖药，如何处理 #糖尿病,https://www.douyin.com/video/6829231026980621580,307,01:26,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
中效、长效胰岛素注射部分。#胰岛素注射 #糖尿病 #医学科普 ,https://www.douyin.com/video/6994364554922691880,1627,01:21,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,5月前
