标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
长效胰岛素什么时候打#医学常识 #健康 #糖尿病,https://www.douyin.com/video/6982470391562390787,2819,00:32,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,5月前
长效胰岛素，注射注意事项。#医学科普 #医学科普 #糖尿病 ,https://www.douyin.com/video/6994365096763870505,959,00:48,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,4月前
科普#糖友 ，使用长效#胰岛素 ，漏打了，该怎么办，#内科李大夫@抖音小助手 ，给你支招。,https://www.douyin.com/video/6998829777608117512,573,00:53,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,3月前
中效、长效胰岛素注射部分。#胰岛素注射 #糖尿病 #医学科普 ,https://www.douyin.com/video/6994364554922691880,1582,01:21,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,4月前
不同胰岛素，适合不同病情，注射次数也不同 #胰岛素注射 #胰岛素 #医学科普 ,https://www.douyin.com/video/7021438003818073357,2662,00:59,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
打上了胰岛素，不代表糖尿病就一定很严重了#糖尿病 #胰岛素 ,https://www.douyin.com/video/6989498546265263390,2525,00:47,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,4月前
,,1955,01:00,https://www.douyin.com/user/MS4wLjABAAAAD8ijiQF8j3-UjJ8Q9-JoathXsmBhQeDC6BI93cExEB-QouOv_s_mrIzI_KESYbEy,内科李大夫,1年前
不吃饭是不是就不用打胰岛素了？#糖尿病 #胰岛素  ,https://www.douyin.com/video/6984336594643750151,707,00:47,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,4月前
二型糖尿病患者，选择适合自己的方式，也有希望恢复正常。#糖尿病 #中医,https://www.douyin.com/video/6921610018953497869,2503,00:45,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,10月前
胰岛素每天100u，空腹血糖18.9，什么原因？#医学科普 #糖尿病 #健康 @DOU+小助手,https://www.douyin.com/video/6994725192958217475,9520,01:22,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,4月前
#联合国糖尿病日，上海市第十人民医院内分泌科主任医师邹大进教授带你保护胰岛长效控糖 #糖尿病,https://www.douyin.com/video/6894553541441096968,2.8w,03:55,https://www.douyin.com/user/MS4wLjABAAAAkooV-NzXVWLbkfVfI1tHKqr-Q6OKY-fccfb5sjxbC5U,医师报,1年前
 胰岛素+饮食调控，控糖路走更稳#糖尿病 #控糖 #逆糖 ,https://www.douyin.com/video/7026265196779867428,1660,00:35,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1月前
不同的#胰岛素应该在不同时间打，不要混淆~#健康 #科普  @DOU+小助手,https://www.douyin.com/video/6864056130977451271,81,00:43,https://www.douyin.com/user/MS4wLjABAAAAP1-V4x9_XnrT5eAE1nqtQxXeV2FqrGXXO6ex44LN_jo,揭博士慢病预防,1年前
#糖尿病 #胰岛素 注射胰岛素需要注意什么,https://www.douyin.com/video/7007349931279273231,743,00:58,https://www.douyin.com/user/MS4wLjABAAAARz9j_M7MXa-9ouVdVcnLp-H3hy32om2DogZjnpEEqRJ8xnVzu9gpHA-6fIwRmWBf,内分泌科宋医生,3月前
“药效”一整天？哈哈哈哈哈～#搞笑 #医院趣事 #科普一下,https://www.douyin.com/video/7026366555298499871,200,01:47,https://www.douyin.com/user/MS4wLjABAAAA9y48oYwVwc6JaNJOVO67LST_6Is4PpDjfq2dqi_aqh2XlJrKJ_KaQpXb-AeOHCFU,湘雅常德医院,1月前
 #李焱主任 调整三餐前胰岛素用量的几个误区#糖尿病 #糖友自我管理 #胰岛素 ,https://www.douyin.com/video/7020236725712702750,897,00:50,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,1月前
#知识能量站 警惕：有低血糖风险的降糖药#抖来涨知识 #这个视频有点料,https://www.douyin.com/video/6942710490145557771,1651,00:45,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,8月前
#胰岛素 忘打了能补打吗？,https://www.douyin.com/video/6945313334661057833,782,00:37,https://www.douyin.com/user/MS4wLjABAAAAfcltBJ0ynVNSG5CHK4lO4dnPKVoJr4Pda3VV2oB8zmto0Cikh3uiISwygCfKU45v,内分泌科田医生,8月前
胰岛素的分类 #糖尿病,https://www.douyin.com/video/6839499328311053576,90,01:50,https://www.douyin.com/user/MS4wLjABAAAAXysMFOQ9XJJzCFpw5QlpYVs4azhTptUSlLKm_sy9Dso,周口市中医院,1年前
糖友在做糖耐量测试的时候注意的问题#糖尿病 ,https://www.douyin.com/video/7023657847950953741,637,00:35,https://www.douyin.com/user/MS4wLjABAAAAVS5OBFKG6xgtEu5IoUHBYNz5zt6yM1qwPa56m1gb2qg,孙苏欣讲糖,1月前
不同部位，胰岛素的吸收也不一样！#胰岛素 #南方健康,https://www.douyin.com/video/6842864902525259019,132,00:38,https://www.douyin.com/user/MS4wLjABAAAAM_0q2GnHrpnSXdzji0NqAdhNGVzhRJy5jKBYRiT7e1M,人卫约健康,1年前
