标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
老年糖尿疒患者用阿格列汀需要注意什么#健康 #科普健康知识 ,https://www.douyin.com/video/7041417703147490567,8,00:25,https://www.douyin.com/user/MS4wLjABAAAAENjNKbQXQgEsk-F-VW4cWjpbZNWWZatGWSq3kDKhe8g,中西医刘海生博士,1天前
列汀类降糖药和列净类降糖药#这个视频有点料 #健康 #科普 @南方健康,https://www.douyin.com/video/6797396407054568712,2382,01:52,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
降糖药服用时间大全#糖尿病 @河豚健康 @抖音小助手,https://www.douyin.com/video/6942398403330592008,1.6w,01:18,https://www.douyin.com/user/MS4wLjABAAAAIh4PYQ_S9jTg-G8nImuO45jgN9OPP13ESSaeADxrNMvHoIdKDc6LF3XA3P0zie72,晓光说药,8月前
每天吃他汀药的作用到底是什么，哪些人需要长期吃#科普健康中国新媒体 ,https://www.douyin.com/video/6991296974389546277,2.3w,03:17,https://www.douyin.com/user/MS4wLjABAAAAtuDOOW5KSrm2TaKAVU2Vp2smhvaSSqlbGqD6Q-f3YtQ,神经内科宋璞医生,4月前
阿托伐他汀和瑞舒伐他汀有什么区别？到底选择哪一个？,https://www.douyin.com/video/6821081422867025155,2.1w,05:04,https://www.douyin.com/user/MS4wLjABAAAA7svG5EB1INLdkgi2zkMb0VJAeysaGXsYkXqlZ4QLNi8,心血管王医生,1年前
长期吃他汀，不良反应要知道。#医学科普 #医生 #健康科普 ,https://www.douyin.com/video/7011038728944733476,9762,02:24,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,2月前
他汀类药物哪个好？#他汀类药物,https://www.douyin.com/video/6901241629240347911,4.4w,01:27,https://www.douyin.com/user/MS4wLjABAAAADpTiEpkjX_fXgDZudeIOTE1fqPky6GK_mbCF0-8jYTA,聊健康的崔主任,1年前
阿托伐他汀补钙吗#新趋势看我 #知识先锋计划,https://www.douyin.com/video/7023665370846334216,1023,00:53,https://www.douyin.com/user/MS4wLjABAAAAGVVmlvrS5AX1CnKAzUy00AUVj4t1W9aP94l7qI2bUWI,陈晨脑科医生,1月前
#全民健康计划 他汀类药物真的伤肝吗？听听小胖药师怎么说@河豚健康 @哈医大一院药学部 #老年用药,https://www.douyin.com/video/6821870032792915215,84,00:57,https://www.douyin.com/user/MS4wLjABAAAAA95IDIWUIhNes3HNecPS_h1_os8lSrR1cA8EC0ftdn0,小胖药师,1年前
#降血脂 他汀药物别乱吃，一定遵循医生嘱托！,https://www.douyin.com/video/6982478501039426852,1.9w,00:28,https://www.douyin.com/user/MS4wLjABAAAA4DfUlyz3X6P2ZroLtHp-qydaJBhEUpqU1UGaD5WncjA,老年病专家刘超,5月前
你觉得哪个好？那不重要！让医生帮你选个适合你的最好！定期监测指标！#冠心病 #他汀 #用药@心理学者梁松松,https://www.douyin.com/video/6969886420613844262,6.7w,02:25,https://www.douyin.com/user/MS4wLjABAAAA-LhgvDp5FSanbSPDuvQRRwsHGeRnCRpa6WXD10FFs_U,安贞医院郝大夫,6月前
他汀药的副作用能升高血糖，不少人不知道怎么办？今天给大家讲讲！#医学科普 #健康科普 #健康生活 ,https://www.douyin.com/video/7011672914470718750,7684,02:34,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,2月前
说两次了，好多人还在问他汀怎么选，出现副作用怎么办？#健康 #他汀,https://www.douyin.com/video/6865228582734679311,2.1w,00:51,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1年前
很多朋友想知道#阿托伐他汀 和#辛伐他汀 到底有哪些副作用呢？听听汪医生怎么说？#健康科普 ,https://www.douyin.com/video/7018839021308693772,2550,00:46,https://www.douyin.com/user/MS4wLjABAAAAxFKiuvpb4FJuaCqQXSgMCzsmZ-pSqiXBBSmwFL8aJsODCg4hGYVaRv-Zr2uUAq87,心血管内科—汪蓓蕾,2月前
#健康真相官 #医者名片 吃他汀药物一定要注意时间，否则会没有效果哦！@解忧医生,https://www.douyin.com/video/6900496822976941327,1.1w,00:37,https://www.douyin.com/user/MS4wLjABAAAAzW6p4sh2xCWY50ogzZXQ5q8IPD_9BTEZEQPFUZXWdlU,心脏科吴主任,1年前
长期吃他汀的人注意！这3大好处与2大副作用，各位需明确牢记！,https://www.douyin.com/video/6946392543298964750,504,02:30,https://www.douyin.com/user/MS4wLjABAAAAYZo34twrzWfXiFHer7radd-gc4wM64yrypNnrtHBxOHF0nPsxtevvnZiLD2Rj30_,黄立坤教授,8月前
吃了阿托伐他汀，腰酸背痛怎么办,https://www.douyin.com/video/6897156184374136075,210,01:26,https://www.douyin.com/user/MS4wLjABAAAAD1M4idghKsaeEsHvffFgbt8eVAOk9mELBzWmG2HPGjLPBKgAMO2z1CW2FWZyeDtV,神经外科薛医生,1年前
长期服用他汀类药物副作用都有什么？#医学科普 #健康知识 #医生 ,https://www.douyin.com/video/6980309428184681741,138,01:33,https://www.douyin.com/user/MS4wLjABAAAAjZDGIifaWiqvg_Lf3YAXw5Z-D0EgWL67TCkUV2wGXarTzv66Ix2RtRvzMNo5ehSM,心血管内科李岩医生,5月前
长期吃他汀是不是可以把斑块溶解掉呢？ @震洋健康 #医学知识科普,https://www.douyin.com/video/6974680835781889294,1881,00:36,https://www.douyin.com/user/MS4wLjABAAAArSyaArOX77OGs_xlNTDp_0TPGvjsZp6U3zhoPVR_Qis,心血管内科王磊医生,5月前
"""他汀""类降脂药物什么时间吃效果最好？#他汀 #医学科普 #高血脂 ",https://www.douyin.com/video/6999488287345806605,2730,00:58,https://www.douyin.com/user/MS4wLjABAAAAO7rg5AGecG2FgiuK1vRZ4nMRtF_iwAQP9qkjUnapg30yj6OuKut4E0jbBgJSh2zk,邵主任,3月前
吃他汀多长时间会出现副作用？有哪些副作用？@抖音小助手 @抖音文化站,https://www.douyin.com/video/6828854424379723022,8655,01:44,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,1年前
#医学科普 #吃药,https://www.douyin.com/video/6841178573005458703,109,00:56,https://www.douyin.com/user/MS4wLjABAAAAhgIXz3iGhohOf-Lw8LknzGnYZRHZShPHyx2K6lu7KjHbMSdfgrXpWBy7ZP5JGvMw,神经内科医生邵延坤,1年前
老年健康宣传周：他汀类药物能长期服用吗？,https://www.douyin.com/video/6986793557893893407,35,04:29,https://www.douyin.com/user/MS4wLjABAAAACFTy4QIlfc7hYtEfduaku2zzy5D1TOOdro9_eNdhQSM7PV_pYezGqhVPQ1oTTa46,南充市中医医院,4月前
#血脂 调脂葯系列科普（33） 吃降血脂他汀葯，要注意这五点 @南方健康,https://www.douyin.com/video/6838133047532031240,7771,01:23,https://www.douyin.com/user/MS4wLjABAAAAtuDOOW5KSrm2TaKAVU2Vp2smhvaSSqlbGqD6Q-f3YtQ,神经内科宋璞医生,1年前
