标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
男性雄性激素过多引发哪些问题？#健康真相官 #医者名片 #医学科普 @DOU+小助手,https://www.douyin.com/video/6893815256758504716,177,00:31,https://www.douyin.com/user/MS4wLjABAAAArLEar73gMVqun0OIDG0YtYAJmWPzFiVtq4llrrx1JbS5sNgJP_RGZN69dlXX7TFT,中山附一皮肤科罗迪青教授,1年前
男性雄J素过多的表现@震洋健康 @中医陈其华医生 #健康科普 ,https://www.douyin.com/video/7002406236742274334,158,01:10,https://www.douyin.com/user/MS4wLjABAAAAT8MqKYPG5I077VlSy7IgwIIv_ccN2XRGjNzWE-qK4mE,中医李山山医生,3月前
出现雄激素高可不是好现象，如果出现这种情况，要抓紧去医院了！你们说呢？#医学科普 @抖音小助手,https://www.douyin.com/video/6872663462506532111,857,00:24,https://www.douyin.com/user/MS4wLjABAAAALwTY2qhzEj2WeYfjYp0M9jG5L7C67ZmrvEVys5_-Kes,李斌医生,1年前
女性雄性激素过高如何调理 @震洋健康  @妇产科李海泉医生 #涨知识,https://www.douyin.com/video/6938338477595577631,1464,00:49,https://www.douyin.com/user/MS4wLjABAAAAHrdOOLY1GE3dQN8J2p_-1w5Vgt7nvUgfqLNeEBBZ-UE,妇产科莫慧华医生,9月前
,,1.2w,00:46,https://www.douyin.com/user/MS4wLjABAAAABL9pA7Lmi8TGoPQ9qtx3nQFUusYaqQwOsiM7tOgPWS0,木鱼医生,8月前
水满则溢，月满则亏，任何事情都是这个道理噢！#健康,https://www.douyin.com/video/6905305121807142155,9713,00:19,https://www.douyin.com/user/MS4wLjABAAAA_HMThvJC5ebup36lleKRnIr_ePywJZPvRQwARTZ6H7vh9XmbNd5g0cro4hW8iBsW,泌尿外科傅医生,1年前
得了雄激素性脱发是体内激素太多了？#脱发,https://www.douyin.com/video/6986479852161371399,57,00:44,https://www.douyin.com/user/MS4wLjABAAAAHP3LhKOBJihQECAgiB8sguRRVl7Z5m6glU48X0DYnxM,认真健康,4月前
#健康 男人需求过多，那是病吗？#dou出新知 #男性 #科普 #暑期知识大作战,https://www.douyin.com/video/6869319197986540812,2.3w,00:27,https://www.douyin.com/user/MS4wLjABAAAAiTNRHL5JqR5GJ-XUGOGrp1uiL7u7YYdXGXgikiDhTZU,男科医生杨晓健,1年前
,,716,00:17,https://www.douyin.com/user/MS4wLjABAAAAd3OFBu-_XLRdfQX1xUVu9y-20bN5nsdLoCXZLeAUJVB3SPbpE1p2Cn5ZF1-PetS0,男科医生李群生,1年前
雄激素高，有什么表现？@DOU+小助手 #医学科普 ,https://www.douyin.com/video/7009109700281109797,44,00:21,https://www.douyin.com/user/MS4wLjABAAAAsmuijQVCMz4f0BlQ4yVJ36RC76Exshoxr-UPUizSNQs,杨瑞峰医生,2月前
男性需求过多是病吗？ #健康科普  #医学科普,https://www.douyin.com/video/6931554306843872519,7800,00:30,https://www.douyin.com/user/MS4wLjABAAAAPH6WuHVUP2sm_qCLxFIpC_omOkk-xYq7UNbH7L1IfDId7XuSjHeSbsVpxuSU2HwV,内科朱医生,9月前
雄激素升高不孕怎么办？#不孕 #女性健康 #备孕 #医学科普,https://www.douyin.com/video/6899366149893524751,124,00:44,https://www.douyin.com/user/MS4wLjABAAAAqryxD07QXWWBPFuc82qWgfk2smtgC7yzndi8UFeBWwc,赵杨医生,1年前
雄ji素旺盛会有哪些表现？你占了几个呢？#健康科普 #一分钟小课堂 ,https://www.douyin.com/video/7001032670696181006,1239,01:09,https://www.douyin.com/user/MS4wLjABAAAA74uWXFkSPK73QDEz1m20CtuYw2fC3vfveRekkXlI1H8,男科名医姜辉教授,3月前
变男人肯定是不会的，但是会变丑 #关爱女性健康  #医学常识  #变丑,https://www.douyin.com/video/6888955996857830663,395,00:17,https://www.douyin.com/user/MS4wLjABAAAAo1n-7mwOA79jbe3YXJeZNYSKBlpzVyx6fz5ms9iGs0JNcAFQo6yI9EfCEeqB-291,妇科寿医生,1年前
女性体毛旺盛，胡子多，小心是这个病！#医学科普 #健康 @木鱼医生,https://www.douyin.com/video/6868958040872193280,542,00:23,https://www.douyin.com/user/MS4wLjABAAAAE6N2Ua7sC3oYFBtJWdnF0hLh5nXhoDGQcIhLCawqKaw-0bxdKrj5zWHkyytAOISu,内分泌科史双伟,1年前
23岁月jing不调，雄ji素过高，该怎么办？#医学科普 #老中医 #中医内科吴金荣 ,https://www.douyin.com/video/7027406592932859173,170,00:57,https://www.douyin.com/user/MS4wLjABAAAAfwq0yuDqn232MXXHAN3MpG8GJE71R3u-8GqpN993bdQ,内科吴金荣医生,1月前
雄激素水平偏高有什么影响？#医学科普 #健康科普 @DOU+小助手 ,https://www.douyin.com/video/6989143073297059085,49,00:23,https://www.douyin.com/user/MS4wLjABAAAAsmuijQVCMz4f0BlQ4yVJ36RC76Exshoxr-UPUizSNQs,杨瑞峰医生,4月前
看这里就能知道你雄性激素是不是过多#十万个怎么做 #健康 @熊露医生,https://www.douyin.com/video/6831446077586148623,6317,00:17,https://www.douyin.com/user/MS4wLjABAAAA_HMThvJC5ebup36lleKRnIr_ePywJZPvRQwARTZ6H7vh9XmbNd5g0cro4hW8iBsW,泌尿外科傅医生,1年前
女性雄性激素高可以#促排吗？ #试管  ,https://www.douyin.com/video/7036003951061355812,391,00:30,https://www.douyin.com/user/MS4wLjABAAAAOC0nNOwX1FwY9aR7gN15WGKLufqAa-c8-2SWCB-PTdk,生殖医学中心马玲主任,2周前
雄激素高、要不上宝宝，如何治疗？#医学科普,https://www.douyin.com/video/6885475731996986639,114,00:39,https://www.douyin.com/user/MS4wLjABAAAApJzdevk7xR4F6NaGQtgGOXlY28_trtojDHtBy78G2eI,付虹医生,1年前
头发一抓一大把，怎么办？#头发 ,https://www.douyin.com/video/6977567810209828127,584,01:06,https://www.douyin.com/user/MS4wLjABAAAA9_sPAVoHAyNSq5InkAQlEI3_JxZVUtvoiZeWgSFej-k,皮肤科杨医生,5月前
男生光头的比例高原来是这个原因#关爱男性 #健康 #头发 #暑期知识大作战,https://www.douyin.com/video/6864853504813534467,588,00:28,https://www.douyin.com/user/MS4wLjABAAAAqt8gNf00V_QsXKfi3lnvuQ2hgp2n89myK8EHd7ctwCpqF9-dAAb9-GESCkd6Ezd_,泌尿男科丘勇超教授,1年前
,,2811,00:21,https://www.douyin.com/user/MS4wLjABAAAABL9pA7Lmi8TGoPQ9qtx3nQFUusYaqQwOsiM7tOgPWS0,木鱼医生,1年前
女性雄激素高的表现#医学科普#雄激素高 #不孕,https://www.douyin.com/video/7004743825902112007,352,01:16,https://www.douyin.com/user/MS4wLjABAAAAOjTZIpjMs6FGPRUtqwUFaHgz9F_rSDMZrYDh3wb0oTg,商丘市五院,3月前
