标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
喝水过多对肾脏有影响吗？#医学科普  #dou出新知 ,https://www.douyin.com/video/6976520683593420039,113,00:43,https://www.douyin.com/user/MS4wLjABAAAAIA_vpidBaATZLvg9QjwumJX4HJlCCsmFIC_YxXwzYm4_yLlc_G-EWaXds34vgEs4,李秀英,5月前
#喝水 太多，肾脏的压力会变大吗？,https://www.douyin.com/video/6971364689443966219,24.6w,01:10,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,6月前
喝水量猛增也要注意！#萌宠出道计划 #喵星人 #汪星人 #宠物医生 #宠物眼科 ,https://www.douyin.com/video/6998436955943914759,904,00:14,https://www.douyin.com/user/MS4wLjABAAAAgZvzdMmliinvxj21SgwtBZCnvcbBo1Q25cbZaruImzg,宠物医生董轶博士,3月前
,,545,00:23,https://www.douyin.com/user/MS4wLjABAAAAPopEypJSQ1L2OLfQ6AneOOIh8VOGyxBBK1ioun409_UYnS_SUv6tKHtSbUzjnCuq,协和高医生,7月前
爱喝水是好事，但是如果一天喝的特别多，就要注意了！#医学科普 #健康 #健康养生,https://www.douyin.com/video/6852657769741405443,1318,00:56,https://www.douyin.com/user/MS4wLjABAAAA0__x5LTOl8pophbiOvCIvORtIrpNUr4TmC9ApYIZhZc,小万科普,1年前
猫咪十大生病表现：饮水量骤增。鉴别病症的方法都告诉你们了哦！@抖音小助手 #猫 #科学养宠攻略,https://www.douyin.com/video/6821079484729511171,799,01:35,https://www.douyin.com/user/MS4wLjABAAAAeYB8TbKwvPpJhun5-MpetSviaxntD4XsSBd9DyZumZJd-8drqaqft4Ufl3MGuDzx,大咪说猫（科普养猫/繁育）,1年前
#喝水多了 #肾健康#健康科普 @抖音健康 水喝多了会影响肾健康吗,https://www.douyin.com/video/6964651013403888903,1.3w,01:58,https://www.douyin.com/user/MS4wLjABAAAAy0UTLKp_fWk_aUSd6JtfLmuyVeiVwdmXx78__17Ir_bUF6Cmc_jkcy58uGrG0J2q,张医生健康之声,6月前
夏天到了，饮水量增多，没有饮水机建议配备这个电动抽水器，方便好用#居家好物 #厨房好物 ,https://www.douyin.com/video/6976110411594616078,46,00:14,https://www.douyin.com/user/MS4wLjABAAAAnofPccLGRelbcJNHJhtTAIH98_xWNwnUIFQJBHdAW5LwGG4gfxCgAjgMaHrl1-sl,周周小百货,5月前
人每天的饮水量越多越好，是真的吗？#生活小常识 #养生 #喝水 @抖音小助手,https://www.douyin.com/video/6692564653215632643,584,00:48,https://www.douyin.com/user/MS4wLjABAAAAmoIfrTTM6wlejdwtA93h346Y03qBlf3_Phi9Gdducqs,多康养生,2年前
孕期糖尿病,https://www.douyin.com/video/7031349630973660455,0,00:25,https://www.douyin.com/user/MS4wLjABAAAAZh0TuN6vTe8q6-8RGp93fNDUrmhLrvaKMSSg6t1azXYBMGupENlMIVDFmZYI5UMo,周伶,1月前
