标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
什么是“胰岛素抵抗和高胰岛素血症”？@南方健康,https://www.douyin.com/video/6801878298650627332,549,00:59,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
出现低血糖，一定要引起重视。#中医,https://www.douyin.com/video/6914540817839295751,222,00:32,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,1年前
高胰岛素血症，身体损害特别大。#糖尿病 @抖音小助手 ,https://www.douyin.com/video/7011426032972516611,1434,00:41,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,3月前
激素水平乱高胰岛素血症都是肥胖惹的祸#肥胖 #减肥 #内分泌失调,https://www.douyin.com/video/6986945259066494245,57,00:35,https://www.douyin.com/user/MS4wLjABAAAAOsbvqT_M1hx4PwO3pcnWgogZQXvPseZO5Or0rUWrFYaxCQHRChhRK2lPh4mp0ZWI,中医内分泌科专家卫兰香,5月前
恶性循环！胰岛素抵抗后果很严重 #糖尿病 #胰岛素抵抗,https://www.douyin.com/video/6966510445943360799,2741,00:33,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,7月前
#健康 #胰岛素抵抗 #胰岛素 胰岛素抵抗的困惑你有吗？一起聊聊吧,https://www.douyin.com/video/6981771927933308194,35,01:12,https://www.douyin.com/user/MS4wLjABAAAAOSQnN5KmR4pbNbvp3Ez8elc153vdidRWo0QB4z0DzB8,赵天豫主任治肥胖,6月前
什么是胰岛素抵抗,https://www.douyin.com/video/6986559253288897806,204,01:00,https://www.douyin.com/user/MS4wLjABAAAApICR1eiTZW23OhnRkC-NK3aX_7MjfIsILuyREW9Cy1A,刘湘源医生,5月前
又见严重黑棘皮症，是胰岛素抵抗、高胰岛素血症的表现 #黑棘皮病  #肥胖  #减重代谢手术  @孟化医学在线,https://www.douyin.com/video/6945721599320427812,3.8w,00:34,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,9月前
管住嘴迈开腿，害了太多人#糖尿病 #糖尿病科普,https://www.douyin.com/video/6880071536049507599,6060,00:37,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
#创作灵感 预防肥胖型糖尿病应该早做处理！#糖尿病 #减重代谢手术,https://www.douyin.com/video/6979869792937315620,1780,01:15,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,6月前
胰岛素抵抗，高胰岛素血症是糖尿病的前兆，也是一个比较好的干预时机#肥胖 #胰岛素抵抗 #糖尿病 ,https://www.douyin.com/video/6989178781483158820,2369,00:25,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,5月前
该给胰岛分泌降降速了#糖尿病 #胰岛素 ,https://www.douyin.com/video/6982792156943584526,2161,00:28,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,6月前
某些症状，可能提示出现糖尿病，提醒我们需要到医院就诊。,https://www.douyin.com/video/6958020558336396557,4288,00:56,https://www.douyin.com/user/MS4wLjABAAAAv-uPF8b2CarHN5RJzYTC-A67Y8ZW28qZJ5F-rIoRFLY,减重医生杨景哥,8月前
你能控制住自己的食欲吗？ #胰岛素抵抗  #减肥,https://www.douyin.com/video/6974328944489139493,4.1w,00:15,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,6月前
减肥后，可以远离糖尿病吗？#糖尿病#肥胖 #超重 #医学科普 ,https://www.douyin.com/video/6983899768913186078,71,01:00,https://www.douyin.com/user/MS4wLjABAAAAVcYDJrxoGkETihvlNkGl96Oj4R83SyMMshA8bSwUjP8,内分泌科医生-刘丹锋,6月前
#肥胖 的危害，真的有很多。#减肥 #健康最重要 ,https://www.douyin.com/video/7006526250504178957,1515,00:30,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,4月前
糖尿病为什么老是肚子饿 #糖尿病 #糖尿病饮食,https://www.douyin.com/video/6963063803105889573,510,00:55,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,7月前
出现“黑棘皮症、胰岛素抵抗、高胰岛素血症”怎么办？,https://www.douyin.com/video/6802044446507617540,1040,00:44,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
三高还没解决，新三高又来了#三高 ,https://www.douyin.com/video/7046240827470843136,6080,01:09,https://www.douyin.com/user/MS4wLjABAAAA4vZ4ChzzbZW2-bI733aY7uqCMqh5aRnpbEvyuXUAHbg,周大亮医生,2周前
胰岛素的这个副作用常常被忽视#这个视频有点料 #科普 #糖尿病 @南方健康 @抖音小助手 @头条健康,https://www.douyin.com/video/6816992945472949507,4211,00:56,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,1年前
因为你还年轻！,https://www.douyin.com/video/6809588606622076172,613,00:42,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
#糖尿病#糖尿病并发症糖尿病是如何损伤血管的,https://www.douyin.com/video/7020597191978880263,182,00:32,https://www.douyin.com/user/MS4wLjABAAAAI-fjD_svt0whoX9ZZ5A3feLrJjnc8iHznPI-T0gT27hPUFFIs4hBHs3dwfbZ53Pi,陆志强讲内分泌,2月前
出现这样的情况，一定要引起重视！#肥胖 #糖尿病科普 #抖音小助手 #减重代谢,https://www.douyin.com/video/6850684697601756419,638,00:59,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
胰岛素抵抗？这六点可以缓解 #糖尿病 #胰岛素抵抗 #医学科普,https://www.douyin.com/video/6899024636445576461,3599,00:39,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,1年前
才14岁就有#糖尿病 了，胰岛素水平太高了，整个脖子都黑掉了！#黑棘皮病 #减重手术 @抖音小助手,https://www.douyin.com/video/7041872432679996687,3211,00:36,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,4周前
很多胖胖的脖子都黑黑的，像是洗不干净一样，这是为啥呢？#减重手术 ,https://www.douyin.com/video/7039623045882940684,1037,00:48,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1月前
#李焱主任 脖子黑黑的洗不掉，是得了糖尿病吗 #糖尿病 #健康科普 #医学科普,https://www.douyin.com/video/6962356565781351711,970,00:34,https://www.douyin.com/user/MS4wLjABAAAAttnuwgJBI0Kp1-EgbmgDICqIz3etuQ3t7yxqmIFcYXLyQfNTZ0hOzIz4k0Yv0zkD,李焱主任,7月前
什么是高胰岛素血症和胰岛素抵抗？,https://www.douyin.com/video/6802078364287995140,407,00:59,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
多囊和肥胖互为因果，相互影响 #多囊  #肥胖 ,https://www.douyin.com/video/6980638335375068446,3152,00:38,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,6月前
出现低血糖症状原因很多，像高胰岛素血症，肝功异常，酗酒以及糖尿病患者和胰岛调节功能受损的糖尿病前期患者等等，经常出现应就医诊断。,https://www.douyin.com/video/7030341993960197384,3158,00:23,https://www.douyin.com/user/MS4wLjABAAAA9RVMAniSbxko7MNl5n9UYjAOefJAaHoaz_mKTcuxHu4,北方健康,2月前
什么是代谢综合征？代谢综合征有哪些症状？#了不起的医生 #医学科普 @DOU+小助手 @抖音小助手,https://www.douyin.com/video/6862650993876782336,2335,00:41,https://www.douyin.com/user/MS4wLjABAAAAKPaaexAufLUJg8THbc-nEQLLL6T76BC594xcuNsx4oY,孟化医学在线,1年前
10月28日今天晚上8：30#直播，想SO的朋友快来#多囊 #胰岛素抵抗 #180斤 @减肥营养师小君 ,https://www.douyin.com/video/7024055413662436622,3758,00:38,https://www.douyin.com/user/MS4wLjABAAAAtR1VByr38eMGQiWv-7e1tnX5sI9FIXcaMFH8KspuTq5lrTlp9kMpcn4zH9s7N9RS,肥胖与代谢科李辉主任,2月前
为何高血压和高血糖容易一起出现在一个人的身上？听听专家怎么说！ #健康  #科普  #三高,https://www.douyin.com/video/6933113495189835022,279,00:27,https://www.douyin.com/user/MS4wLjABAAAAbu6IlXnInbzcMl2efNmegiWUrOXeUQi6vIgh3pXyTa4,凤凰大健康,10月前
@介入科吕医生 儿童肥胖致胰高血糖素血症胰岛素抵抗，脖子等皮肤褶皱处色素沉着出现黑棘皮病血糖已经异常，要重视,https://www.douyin.com/video/6802170125777751303,3720,00:32,https://www.douyin.com/user/MS4wLjABAAAA9awyjLpDvK6121ua9utM6cRFjD24k7nj0I2uxJRzWZy8iKCXabIMp2-P4Tt7KzF0,儿科霍医生,1年前
C肽是什么，高又有什么提示？#女性健康养生 #女性智慧,https://www.douyin.com/video/6923458642423319820,320,01:07,https://www.douyin.com/user/MS4wLjABAAAA3hizVZWTgIR_bYDRmGSYGULkkh9Z3htBFWsjvjGXU7qC8Y2jtXVha5ufMh6Wh03x,庞教授说姨妈,11月前
都是肥胖惹的祸。,https://www.douyin.com/video/6825013925789109515,2480,00:36,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
356斤年轻小伙因肥胖引起多种疾病，肥胖一定要引起重视#减重 #瘦身 #肥胖 ,https://www.douyin.com/video/7012860881969138951,226,00:39,https://www.douyin.com/user/MS4wLjABAAAAPD-34FUKu_zm9BTz92k0i1l7b_7G9IsmuyrGae663w4,张建成,3月前
经常觉得肚子饿，越吃体重长得越快，你是否也有这个苦恼？#减肥 #减重手术 #袖状胃,https://www.douyin.com/video/7042909484921965839,258,00:38,https://www.douyin.com/user/MS4wLjABAAAA7XNdjyG2AA13VFtvtg6M8tA1FpYE2y3ZQ0n6yzisB0413EuStixrqbtOh1drqv7q,减重朱博士,3周前
23岁小伙，230多斤，shu后三个月复查减了54斤。胰岛素抵抗和高胰岛素血症已经完全缓解。#肥胖 #健康中国,https://www.douyin.com/video/6843015354805964043,876,01:17,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,1年前
有胰岛素抵抗该怎么办呢？#医学科普 @抖音健康,https://www.douyin.com/video/6938723461040835854,1280,00:48,https://www.douyin.com/user/MS4wLjABAAAAhLBt7i6yxmTC2vJwd8Er78gtomzIAFrhKIYynlTW25w,内分泌科付留俊,10月前
#关爱女性健康 #女性健康 #健康科普 @抖音小助手 ,https://www.douyin.com/video/7030691761697688845,209,00:43,https://www.douyin.com/user/MS4wLjABAAAA1SSpIvUXbAnFCgclMaEJMfwMdRx69OD1BnpSkWo7bS4WDy_9BhKyxw7C1WCNiZBA,白晶主任,1月前
如何判断自己是否内分泌失调,https://www.douyin.com/video/7051467483840007461,14,00:51,https://www.douyin.com/user/MS4wLjABAAAAOsbvqT_M1hx4PwO3pcnWgogZQXvPseZO5Or0rUWrFYaxCQHRChhRK2lPh4mp0ZWI,中医内分泌科专家卫兰香,2天前
妊娠期糖妈妈，常会有这样几个特征！#怀孕 #孕期 @北方名医,https://www.douyin.com/video/7013281939327028521,372,00:31,https://www.douyin.com/user/MS4wLjABAAAAq_ty4hJkXhNIqETsqyF8Zy7gvBf8gszkrKHdB2G4u4Jnvkgr5gpWJpxse1HuSj0b,产科杜鹃,3月前
想要宝宝的妈妈们查这项了吗？#医学科普 #河北生活记录 内容仅供参考，身体不适请线下就医@DOU+小助手 ,https://www.douyin.com/video/6988062599170608397,23,01:05,https://www.douyin.com/user/MS4wLjABAAAAeImrGtdq53R7xV7lvXS01uSyj2OoRAYr6kqMC9JYvbjBO6CpZARKmS8YPnePJhQ5,石家庄市妇幼保健院,5月前
