标题,yqt9pfjg_链接,blcemqew,_0xcrq8op,标题链接,mdxcmgb,syhvcxib
高血糖可怕在哪儿？糖友在家要如何测血糖？#血糖仪 #糖尿病,https://www.douyin.com/video/7005479465987984654,928,02:57,https://www.douyin.com/user/MS4wLjABAAAAno26x8XhvlQ05ZPXsXOmF7RzGGtB2NN8Jtf_-8-fD90,尤闻道医生（消化内镜）,4月前
汪医生友情提醒，#高血糖人群 饮食常见的这三个误区要注意哦！#健康科普 #心血管 ,https://www.douyin.com/video/7026254463405002023,742,01:02,https://www.douyin.com/user/MS4wLjABAAAAxFKiuvpb4FJuaCqQXSgMCzsmZ-pSqiXBBSmwFL8aJsODCg4hGYVaRv-Zr2uUAq87,心血管内科—汪蓓蕾,2月前
#血糖升高到什么程度，应该警惕呢？#健康科普 #四川 ,https://www.douyin.com/video/7010595988293291300,5529,01:13,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,3月前
餐后血糖特别高，注意6个饮食细节 #餐后血糖 #糖尿病饮食 #杂粮饭 ,https://www.douyin.com/video/7023307331924462851,2.1w,01:32,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,2月前
很多人血糖高了自己不知道。如果有这些表现，还是要去查下血糖！#医学科普 #健康科普 #糖尿病 @抖音小助手 ,https://www.douyin.com/video/7014299789437209893,2.6w,02:16,https://www.douyin.com/user/MS4wLjABAAAAXcZZpN5MrjJZPArKpQ_dLA5MrQHJ7DQEkUwve-rzTs565fnTyFzIpYhunyFM014K,心血管赵宏伟医生,3月前
高血糖带来的4大危害，你知道吗？#高血糖 #医学科普 #糖尿病 #健康科普 ,https://www.douyin.com/video/7043673444067659038,2168,01:18,https://www.douyin.com/user/MS4wLjABAAAA2yhgpLCLibphdQ7TUBlfxZ0_tSbaa3dmBv2l4epGC72X-N_CNgYPCEYrSscQcCjZ,肾内林中军医生,2周前
辟谣：高血糖比低血糖更危险× #dou来辟谣吧 @抖音辟谣 #医学科普 ,https://www.douyin.com/video/7033039767969303819,8241,01:04,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1月前
 #高血糖 危害这么大 患者都不敢听下去,https://www.douyin.com/video/6982110251944365319,1.3w,00:37,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,6月前
高血糖人群注意事项#医学科普 #涨知识,https://www.douyin.com/video/6956769340297366792,206,01:40,https://www.douyin.com/user/MS4wLjABAAAA3MUwYX3G1FWSEMcuGwljVBhtCc6-94YF-5Xyxz9-iHnBuBS7UMGX9Z40Qft5-VVF,烽哥食疗,8月前
高血糖有什么症状,https://www.douyin.com/video/7010046574290160896,95,01:54,https://www.douyin.com/user/MS4wLjABAAAAvZplvQc7w0gLWYtMy3Q-yJDMBZ7Oh1pu5fKW_5ZgQe4,心内范军,3月前
血糖偏高不一定是#糖尿病 ，坚持做好四件事，血糖回到正常值！#十万个怎么做 #涨知识,https://www.douyin.com/video/6893408398369459463,1.8w,00:51,https://www.douyin.com/user/MS4wLjABAAAAg-2yC_pb8oDutvfu-ClglW2QK9nmcDuH2eekpQGOXvo,约见名医,1年前
#医学科普 得了糖尿病不要慌，可以这么办  #糖尿病  #DOU上热门,https://www.douyin.com/video/6850026828338302215,3898,00:43,https://www.douyin.com/user/MS4wLjABAAAA53ik1gf7AgWIYeylzQXNXkd92EATRWy965xrLzcqQDLxQ_OBixEKyLa31Pr2DF12,北京阜外医院心血管孔博,1年前
#创作灵感 高血糖到底有什么危害？#这个视频有点料 #医学知识科普,https://www.douyin.com/video/6969161032220642593,4278,00:54,https://www.douyin.com/user/MS4wLjABAAAAyUYSI-jS6EXKebiIDJb10RITQ7iK_hHGnBy6gJaSxHg,李青大夫,7月前
血糖高就是糖尿病吗？#医学科普 #健康科普 #高血糖 #糖尿病  ,https://www.douyin.com/video/7012998643040947492,415,00:56,https://www.douyin.com/user/MS4wLjABAAAAl3sdSNEmmmodDdrzPxRbuxcjcKQb-oUI9RPC-gY1p7Wd3HWXdRLJz8mEF8eopAzZ,肾内科杨彦芳,3月前
血糖高了就一定是得了糖尿病吗？ #高血糖  #糖尿病  #医学科普 ,https://www.douyin.com/video/6975749313649495303,3771,00:57,https://www.douyin.com/user/MS4wLjABAAAAHlcaf1uBZjM0O-Kk-qm5cc_myObLst_VC5raotIdUfiulUIZew2o3R_ElOcbhte5,肾病科安海燕医生,6月前
#糖尿病早期可能会出现的7个表现，看看你有没有#健康科普 #四川 ,https://www.douyin.com/video/7017987123038981384,3.3w,01:34,https://www.douyin.com/user/MS4wLjABAAAABaZejiHXFI9ZGM_thNkOmh9EsWiOm0SFwbGRAftJ8I_Bam_H8GGs4EJzgxCWwgZc,中医钟博士,2月前
空腹高血糖，就一定是糖尿病吗？#健康 #糖尿病 #医学科普  #高血糖  #王世东 ,https://www.douyin.com/video/6977270066660396295,1252,00:36,https://www.douyin.com/user/MS4wLjABAAAAqAXbegB8g_ZuDLDHNGekdVWH_MkpgRBcXFYex4N64ZbLXX19r_6_jPmx3bLP7Kzq,王世东主任,6月前
#高血糖 血糖高了危害大，管住嘴迈开腿#健康#生活 从现在开始#医学科普 #涨知识 #科普 ,https://www.douyin.com/video/7009188210156915976,86,01:34,https://www.douyin.com/user/MS4wLjABAAAAlDjXFh_wUxCCuydtTycPo0w8gUv5_SVZuaiKQVigLZBSc5U3WZC5vP7ZPI6P_4lH,健康云南,3月前
餐后高血糖有哪些危害，为什么要重视？,https://www.douyin.com/video/7010942668909956389,2315,02:50,https://www.douyin.com/user/MS4wLjABAAAAJOzdDV4Jox4eX7HgE7WmRO6ZH0wuWY4rLsc0L4tiNh-2USqgM6xsye3Jg8mS8txq,李梅医生说糖尿病,3月前
#医学科普 #糖尿病 #高血糖 无论中药降糖，还是西药降糖，饮食控制都是必须的！#糖尿病饮食 #中医张雪亮教授,https://www.douyin.com/video/6968649223919258893,7991,00:30,https://www.douyin.com/user/MS4wLjABAAAA9NYXM936AFVzqaFJcixJtm9YSXbs5Hkg8C9j9URTiF0,中医内科张雪亮,7月前
这种“高血糖”别慌，可以不用药。#健康,https://www.douyin.com/video/6968726652813626661,594,00:50,https://www.douyin.com/user/MS4wLjABAAAA062xLtYILS8e4yU1ZsATqW6KHo9dqQKV8i7bjvPxjSqi1DyT73OLAa3gAmLwUtAr,韩昕健医生,7月前
什么是高血糖,https://www.douyin.com/video/6979498517052083489,3778,01:06,https://www.douyin.com/user/MS4wLjABAAAA6XfG5VfmLpeUYh4lDg8k7K_sOzmyYgPEYQzePmz2pOI,神经外科陈琳博士,6月前
高血糖vs血糖波动，哪个更危险#糖尿病 #高血糖 @抖音小助手 ,https://www.douyin.com/video/7041074722766884100,1734,00:58,https://www.douyin.com/user/MS4wLjABAAAAXfHO1My4IccC9NutDj7_7W5GFjSqWHKlKk5Ju_MgPGI9p3PSQIu0FLtLLR4T8f0S,邹大进医生,3周前
