标题,标题链接,_04b09e32a7964282872626a4aff3353bscss,d170ababc38fdbf760ca677dbaa9206ascss,caa4fd3df2607e91340989a2e41628d8scss_链接,_31dc42fa6181927e1afa821a0db10ed0scss,b32855717201aaabd3d83c162315ff0ascss
黑脖子，有可能是黑棘皮病？#健康 ,https://www.douyin.com/video/6999812886537260296,701,00:39,https://www.douyin.com/user/MS4wLjABAAAAqfHkuBx3PzTA_hVwBg0Gl2t9UHcc4Z0TRttQMMIx_JA,减重专家徐东升医生,3月前
脖子上总是黑黑的，总感觉没洗干净，看起来脏脏的，这可能是#黑棘皮病 ，教你一招简单解决#医学科普 #皮肤 ,https://www.douyin.com/video/6996169211198328099,5542,00:24,https://www.douyin.com/user/MS4wLjABAAAApwe6pqcO_izHcciKB9MadAbJ-zhC_C9IuqI0x3BTQHGBiSy6UDx4205lxXod7PJm,皮肤科张振颖教授,3月前
#肥胖 居然会引起#脖子黑 ？你都用什么去洗过脖子？#黑棘皮 #皮肤 #科普 ,https://www.douyin.com/video/7031097028444720420,1842,00:40,https://www.douyin.com/user/MS4wLjABAAAAYx-kCcDuiJ9fYXKNYI63CXG6CaLNq6KdLZhwrOO9fNKcz5PCaDwhGHumcoWM65I_,董秀芹教授讲皮肤,3周前
又见严重黑棘皮症，是胰岛素抵抗、高胰岛素血症的表现 #黑棘皮病  #肥胖  #减重代谢手术  @孟化医学在线,https://www.douyin.com/video/6945721599320427812,3.8w,00:34,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,8月前
#脖子黑 要小心是#肥胖引起的黑棘皮征 可能是#糖尿病 前兆@营养师小君叫你减肥啦！ #肥胖与代谢科李辉主任 ,https://www.douyin.com/video/7018851695014792478,532,00:32,https://www.douyin.com/user/MS4wLjABAAAAtR1VByr38eMGQiWv-7e1tnX5sI9FIXcaMFH8KspuTq5lrTlp9kMpcn4zH9s7N9RS,肥胖与代谢科李辉主任（直播中）,1月前
脖子上黑黑的一片，洗也洗不干净，这有可能是#假性黑棘皮病 ！应该怎么处理呢？#医学科普 #健康科普 ,https://www.douyin.com/video/7005462563664235812,2867,00:26,https://www.douyin.com/user/MS4wLjABAAAA8iNKaeAxtZCGMkM97v6dpLEBCBDfk5V41rdIxtPIjf8oOhliy5edd-cC7hO8ykT6,皮肤科江光明博士,3月前
#黑棘皮病 涂抹药膏行吗？它是怎么造成的？#医学科普 #肥胖 ,https://www.douyin.com/video/6982814990868778271,769,00:30,https://www.douyin.com/user/MS4wLjABAAAABI0zAr-bk_SNYAzsyj5-Ogss4WnIEHvdibaahx9a1Eo,鲁平大夫,5月前
#创作灵感 肥胖相关的黑脖子病应该如何处理。#黑棘皮 #肥胖,https://www.douyin.com/video/6991385884138409246,4875,01:13,https://www.douyin.com/user/MS4wLjABAAAAWQD4QrP__13V0bq9C0WqS279DEMPtocBxrFGrptb8mWkAwpiHOdtR8zELxrugPM3,医学减重专家刘雁军,4月前
如果出现黑棘皮症是不是代表换上糖尿bing？#糖尿病 #黑棘皮 #减重代谢手术 #肥胖 ,https://www.douyin.com/video/7030984938002337037,492,00:20,https://www.douyin.com/user/MS4wLjABAAAAZmTvelPbmrr34t12AEi7yFYJT_4uWj8wy8rcoMw7zXw,暨南减重王存川教授,3周前
脖子后背皮肤突然变黑，增厚，可能是#黑棘皮 。#医学科普 #健康科普 #皮肤 #黑棘皮病 ,https://www.douyin.com/video/6996166739419581710,1548,00:24,https://www.douyin.com/user/MS4wLjABAAAAoYnLayxYoL8mx8kgjwfYAFjA_oASMDk7MXMSiLeX13iSoSPhvZ2xqQit6HyXLqy4,皮肤科杨文林教授,3月前
脖子出现黑黑得皮损，#黑棘皮征 怎么办？#科普 ,https://www.douyin.com/video/6996960951308225823,763,00:25,https://www.douyin.com/user/MS4wLjABAAAA8tlDsuf8dAI_GTZaj-4gR0g20KqQ5Ftfg2efJFhDYIo,皮肤科杨猛博士,3月前
这种洗不掉的黑不是脏，而是肥胖惹的祸！是肥胖惹的祸！,https://www.douyin.com/video/6902755007255432452,5547,00:46,https://www.douyin.com/user/MS4wLjABAAAAYGzkiXoanlk-DR1Wcky_7DTuqiCXir2LgZXpOh6uLB4,养生堂,1年前
这种脖子黑，不是没洗干净，是黑棘皮症。 #肥胖  #黑棘皮病  #胰岛素抵抗  #全民健康计划  @河豚健康,https://www.douyin.com/video/6903517555185503496,1.8w,00:31,https://www.douyin.com/user/MS4wLjABAAAAoSxHz7HhhQhEQEu3NOycuz6vfG44y0YR2ZBTxx0QT7nStEJgLri2cFFndnmjTb_F,听我说血糖,1年前
脖子黑黑的 洗也洗不掉怎么办？#黑棘皮 #减重手术 #肥胖  ,https://www.douyin.com/video/7010628110827654407,6022,00:21,https://www.douyin.com/user/MS4wLjABAAAAZmTvelPbmrr34t12AEi7yFYJT_4uWj8wy8rcoMw7zXw,暨南减重王存川教授,2月前
孩子脖子黑洗不干净到底是怎么回事  #dou出新知 #减重 #涨知识 @抖音小助手 ,https://www.douyin.com/video/6990538935189507339,1.7w,00:44,https://www.douyin.com/user/MS4wLjABAAAAFGjc-yWHSxgrY900fcAXhFGnPj4OThBhCrv5XNcr_As,医学减重专家陈伟,4月前
黑棘皮症是胰岛素抵抗的外在明显症状，要重视，是糖尿病的前兆#糖尿病 #肥胖 ,https://www.douyin.com/video/6989547300112616718,13.4w,00:31,https://www.douyin.com/user/MS4wLjABAAAA2uebU1ZNTDQCJQKB-4_kVNsoYU1HQ_FpRM6totQj6Og,减重代谢手术喜哥,4月前
