1,617,抖音号： 357955771,,,4810,3988,5464
2,799,抖音号： 173904162,,只因是你  ＝,697,934,1.4w
3,371480910,抖音号： 371480910,彩琼商贸官方账号,深耕肠道建康领域  认识我-知预防-懂建康  每晚8:30直播间聊,105,16.9w,41.9w
4,943445279,抖音号： 943445279,,仁心 厚德 笃行 至善  有内分泌科困扰的小伙伴。可以关注我哦,14,1618,2.1w
5,1131739027,抖音号： 1131739027,,从事医药行业二十年。坚持一生只做一件事“将大健康产业进行到底”,1575,559,1968
6,1587350921,抖音号： 1587350921,,,47,306,630
7,1737820373,抖音号： 1737820373,,,1430,964,9489
8,2106928307,抖音号： 2106928307,,,3493,1422,955
9,2203004531,抖音号： 2203004531,桔杏医生官方账号,汇集京城名医。为你科普健康知识！,329,6.2w,8.8w
10,69117650770,抖音号： 69117650770,,,6052,1752,8217
11,85214369308,抖音号： 85214369308,,,50,1563,1.4w
12,` L_小雨、,抖音号： Lxy_0707,,等不到天黑。烟火不会太完美…,324,618,1.9w
13,^O^胡家二小姐,抖音号： 392002717,,谢谢您。这么好看还关注我  关注我。我们就是朋友了  毕竟。好看的人都在一起玩。  遇见之后。 我们的故事就开始了 。  总有一段文字 。是你心里的故事。  每天不定时的更新视频  关注了。就不要取关。取关我会 的,155,1156,1.1w
14,￣生平安,抖音号： dygj116t72jh,,乔彩平,198,406,2.1w
15,-数雨听风-,抖音号： 997724781,,1,825,24,9
16,、,抖音号： 1888688090L,,人生本来就不止一条路。有些人注定只能陪你走一程……,10,1531,2.6w
17,……房东的猫,抖音号： 618024345,,最孤独的时光会塑造最坚强的自己,604,505,7079
18,(合肥市第二人民医院),抖音号： 1194996433,合肥市第二人民医院,守护新生者,3039,1683,1.0w
19,（小刘）控糖日记,抖音号： lyy15008800060,,感谢抖音提供的绿色平台。  由于肥胖。两年前做了一次体检。体检结果很让我震惊。肥胖导致我出现三高（空腹血糖17.08毫摩尔每升）  确诊二型糖尿病。当时的沉重的打击了我。因此到了我人生中的低谷。但我不能这样堕落和消极。通过一年科学的运动和合理的膳食。现在不吃药不打针。血糖达到正常人的值。体重减掉27公斤。现在颜值提升。健康加倍。对生活更有信心了。关注我。每天分享合理饮食。指导你们健康减脂。运动控糖。,289,4964,1.1w
20,《74》32号娶你,抖音号： 1759381869,,下深海者得珍珠。下深浅者得鱼虾。  日落西山你不陪。东山再起你是谁。,1878,2058,1.2w
21,《白衣执甲》栏目,抖音号： baiyizhijial,河南广播电视台《白衣执甲》栏目官方抖音账号,专家个人账号都在关注里  与您一起守护生命的美好。,9,40.6w,98.8w
